variant	variant_label	langpair	system	segmenter	ok	n_segments	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy_none	legacy (none)	cs-uk	BJFU-LPT	none	1	2316	24742	10.683	5	6254	128749056	2.013
legacy_none	legacy (none)	cs-uk	CUNI-Transformer	none	1	2316	28738	12.408	5	6854	169538818	2.013
legacy_none	legacy (none)	cs-uk	CycleL	none	1	2316	22513	9.721	5	6142	105763111	1.758
legacy_none	legacy (none)	cs-uk	IKUN	none	1	2316	28871	12.466	5	6855	171006579	2.076
legacy_none	legacy (none)	cs-uk	IKUN-C	none	1	2316	24802	10.709	5	6678	127648154	1.869
legacy_none	legacy (none)	cs-uk	IOL-Research	none	1	2316	28785	12.429	5	6831	169991221	2.099
legacy_none	legacy (none)	cs-uk	TranssionMT	none	1	2316	28543	12.324	5	6787	167309007	2.124
legacy_none	legacy (none)	cs-uk	Unbabel-Tower70B	none	1	2316	29942	12.928	5	7054	183685608	2.154
legacy_none	legacy (none)	cs-uk	Aya23	none	1	2316	29078	12.555	5	6874	173153986	2.066
legacy_none	legacy (none)	cs-uk	CommandR-plus	none	1	2316	29355	12.675	5	6996	176789167	2.075
legacy_none	legacy (none)	cs-uk	ONLINE-W	none	1	2316	29050	12.543	5	6939	173361180	2.022
legacy_none	legacy (none)	cs-uk	ONLINE-B	none	1	2316	28565	12.334	5	6789	167574371	2.048
legacy_none	legacy (none)	cs-uk	Llama3-70B	none	1	2316	28874	12.467	5	6902	171018514	2.027
legacy_none	legacy (none)	cs-uk	ONLINE-A	none	1	2316	29383	12.687	5	6942	177167997	2.14
legacy_none	legacy (none)	cs-uk	ONLINE-G	none	1	2316	29481	12.729	5	7022	178192527	2.091
legacy_none	legacy (none)	cs-uk	Gemini-1.5-Pro	none	1	2316	34431	14.867	5	10963	260032261	2.52
legacy_none	legacy (none)	cs-uk	Mistral-Large	none	1	2316	30563	13.196	5	7686	192684373	2.187
legacy_none	legacy (none)	cs-uk	Claude-3.5	none	1	2316	29655	12.804	5	6964	180282593	2.144
legacy_none	legacy (none)	cs-uk	GPT-4	none	1	2316	29339	12.668	5	6937	176308069	2.182
legacy_none	legacy (none)	cs-uk	Phi-3-Medium	none	1	2316	30439	13.143	5	7821	192392763	2.194
legacy_none	legacy (none)	en-cs	CUNI-DocTransformer	none	1	997	28138	28.223	4	7378	198199138	2.084
legacy_none	legacy (none)	en-cs	CUNI-GA	none	1	997	28976	29.063	4	7829	210451926	2.009
legacy_none	legacy (none)	en-cs	CUNI-MH	none	1	997	29298	29.386	4	7705	215185126	1.923
legacy_none	legacy (none)	en-cs	CUNI-Transformer	none	1	997	27808	27.892	4	7317	193654510	1.896
legacy_none	legacy (none)	en-cs	CycleL	none	1	997	28803	28.89	4	8719	210558891	1.903
legacy_none	legacy (none)	en-cs	CycleL2	none	1	997	27860	27.944	4	7696	194811216	1.882
legacy_none	legacy (none)	en-cs	IKUN	none	1	997	27884	27.968	4	7395	194785782	1.908
legacy_none	legacy (none)	en-cs	IKUN-C	none	1	997	27267	27.349	4	7242	186214481	1.85
legacy_none	legacy (none)	en-cs	IOL-Research	none	1	997	27875	27.959	4	7358	194620245	1.86
legacy_none	legacy (none)	en-cs	NVIDIA-NeMo	none	1	997	28224	28.309	4	7739	199851298	1.887
legacy_none	legacy (none)	en-cs	SCIR-MT	none	1	997	28283	28.368	4	7605	200597799	1.908
legacy_none	legacy (none)	en-cs	TranssionMT	none	1	997	28649	28.735	4	7586	205572921	1.888
legacy_none	legacy (none)	en-cs	TSU-HITs	none	1	997	18495	18.551	4	5445	86798859	1.321
