langpair	variant	variant_label	metric	value
cs-uk	legacy_none	legacy (none)	boundary_acc	0.5560363479013414
cs-uk	legacy_none	legacy (none)	seg_exact	0.24395509499136442
en-cs	legacy_none	legacy (none)	boundary_acc	5.937717871252614
en-cs	legacy_none	legacy (none)	seg_exact	2.079314867679963
en-de	legacy_none	legacy (none)	boundary_acc	5.039119993802773
en-de	legacy_none	legacy (none)	seg_exact	1.855566700100301
en-es	legacy_none	legacy (none)	boundary_acc	2.351241297780113
en-es	legacy_none	legacy (none)	seg_exact	0.6236099603157298
en-hi	legacy_none	legacy (none)	boundary_acc	7.122076759538995
en-hi	legacy_none	legacy (none)	seg_exact	5.867602808425276
en-is	legacy_none	legacy (none)	boundary_acc	10.568717867175492
en-is	legacy_none	legacy (none)	seg_exact	6.778229425117457
en-ja	legacy_none	legacy (none)	boundary_acc	6.186785761197951
en-ja	legacy_none	legacy (none)	seg_exact	1.242859011818063
en-ru	legacy_none	legacy (none)	boundary_acc	1.3175562269217858
en-ru	legacy_none	legacy (none)	seg_exact	0.3301571380809094
en-uk	legacy_none	legacy (none)	boundary_acc	1.067472306143001
en-uk	legacy_none	legacy (none)	seg_exact	0.2156469408224674
en-zh	legacy_none	legacy (none)	boundary_acc	8.794897616649882
en-zh	legacy_none	legacy (none)	seg_exact	0.3295601088981229
ja-zh	legacy_none	legacy (none)	boundary_acc	9.24284629020005
ja-zh	legacy_none	legacy (none)	seg_exact	0.7628294036061026
cs-uk	none	fixed (none)	boundary_acc	79.83556901774124
cs-uk	none	fixed (none)	seg_exact	67.03151986183074
en-cs	none	fixed (none)	boundary_acc	70.77232938260128
en-cs	none	fixed (none)	seg_exact	54.139341100223746
en-de	none	fixed (none)	boundary_acc	72.08149353164458
en-de	none	fixed (none)	seg_exact	54.4595324434843
en-es	none	fixed (none)	boundary_acc	80.98865974867552
en-es	none	fixed (none)	seg_exact	68.1697265710174
en-hi	none	fixed (none)	boundary_acc	67.09745999776212
en-hi	none	fixed (none)	seg_exact	49.52635684832275
en-is	none	fixed (none)	boundary_acc	64.22324693910002
en-is	none	fixed (none)	seg_exact	44.823945520772845
en-ja	none	fixed (none)	boundary_acc	68.36551512763256
en-ja	none	fixed (none)	seg_exact	21.917927696131873
en-ru	none	fixed (none)	boundary_acc	61.274756629741525
en-ru	none	fixed (none)	seg_exact	42.151454363089265
en-uk	none	fixed (none)	boundary_acc	74.18932527693858
en-uk	none	fixed (none)	seg_exact	58.64593781344032
en-zh	none	fixed (none)	boundary_acc	59.377547595070254
en-zh	none	fixed (none)	seg_exact	17.533553040072597
ja-zh	none	fixed (none)	boundary_acc	65.5798936439605
ja-zh	none	fixed (none)	seg_exact	22.386836464506366
cs-uk	spm32k	spm 32k	boundary_acc	84.88533102553008
cs-uk	spm32k	spm 32k	seg_exact	76.07728842832469
