label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
fixed	cs-uk	BJFU-LPT	none	1	2311	1226	2316	644	24742	10.683	5	6254	128749056	1.727
fixed	cs-uk	CUNI-Transformer	none	1	2311	1987	2316	1713	28738	12.408	5	6854	169538818	1.659
fixed	cs-uk	CycleL	none	1	2311	350	2316	52	22513	9.721	5	6142	105763111	1.435
fixed	cs-uk	IKUN	none	1	2311	1974	2316	1701	28871	12.466	5	6855	171006579	1.66
fixed	cs-uk	IKUN-C	none	1	2311	1898	2316	1582	24802	10.709	5	6678	127648154	1.525
fixed	cs-uk	IOL-Research	none	1	2311	2003	2316	1741	28785	12.429	5	6831	169991221	1.67
fixed	cs-uk	TranssionMT	none	1	2311	1978	2316	1713	28543	12.324	5	6787	167309007	1.652
fixed	cs-uk	Unbabel-Tower70B	none	1	2311	1982	2316	1737	29942	12.928	5	7054	183685608	1.728
fixed	cs-uk	Aya23	none	1	2311	1996	2316	1735	29078	12.555	5	6874	173153986	1.672
fixed	cs-uk	CommandR-plus	none	1	2311	1990	2316	1729	29355	12.675	5	6996	176789167	1.691
fixed	cs-uk	ONLINE-W	none	1	2311	1961	2316	1674	29050	12.543	5	6939	173361180	1.688
fixed	cs-uk	ONLINE-B	none	1	2311	1976	2316	1708	28565	12.334	5	6789	167574371	1.67
fixed	cs-uk	Llama3-70B	none	1	2311	1998	2316	1742	28874	12.467	5	6902	171018514	1.691
fixed	cs-uk	ONLINE-A	none	1	2311	1954	2316	1643	29383	12.687	5	6942	177167997	1.693
fixed	cs-uk	ONLINE-G	none	1	2311	1881	2316	1534	29481	12.729	5	7022	178192527	1.724
fixed	cs-uk	Gemini-1.5-Pro	none	1	2311	2009	2316	1770	34431	14.867	5	10963	260032261	1.981
fixed	cs-uk	Mistral-Large	none	1	2311	1967	2316	1715	30563	13.196	5	7686	192684373	1.792
fixed	cs-uk	Claude-3.5	none	1	2311	2075	2316	1890	29655	12.804	5	6964	180282593	1.783
fixed	cs-uk	GPT-4	none	1	2311	2009	2316	1754	29339	12.668	5	6937	176308069	1.721
fixed	cs-uk	Phi-3-Medium	none	1	2311	1686	2316	1272	30439	13.143	5	7821	192392763	1.783
fixed	en-cs	CUNI-DocTransformer	none	1	993	810	997	676	28138	28.223	4	7378	198199138	1.994
fixed	en-cs	CUNI-GA	none	1	993	707	997	511	28976	29.063	4	7829	210451926	1.825
fixed	en-cs	CUNI-MH	none	1	993	812	997	677	29298	29.386	4	7705	215185126	1.859
fixed	en-cs	CUNI-Transformer	none	1	993	816	997	673	27808	27.892	4	7317	193654510	1.777
fixed	en-cs	CycleL	none	1	993	143	997	42	28803	28.89	4	8719	210558891	1.96
