label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy	cs-uk	BJFU-LPT	none	1	2311	3	2316	0	24742	10.683	5	6254	128749056	2.013
legacy	cs-uk	CUNI-Transformer	none	1	2311	17	2316	11	28738	12.408	5	6854	169538818	2.013
legacy	cs-uk	CycleL	none	1	2311	13	2316	0	22513	9.721	5	6142	105763111	1.758
legacy	cs-uk	IKUN	none	1	2311	24	2316	8	28871	12.466	5	6855	171006579	2.076
legacy	cs-uk	IKUN-C	none	1	2311	27	2316	14	24802	10.709	5	6678	127648154	1.869
legacy	cs-uk	IOL-Research	none	1	2311	18	2316	13	28785	12.429	5	6831	169991221	2.099
legacy	cs-uk	TranssionMT	none	1	2311	12	2316	3	28543	12.324	5	6787	167309007	2.124
legacy	cs-uk	Unbabel-Tower70B	none	1	2311	25	2316	9	29942	12.928	5	7054	183685608	2.154
legacy	cs-uk	Aya23	none	1	2311	16	2316	9	29078	12.555	5	6874	173153986	2.066
legacy	cs-uk	CommandR-plus	none	1	2311	5	2316	2	29355	12.675	5	6996	176789167	2.075
legacy	cs-uk	ONLINE-W	none	1	2311	1	2316	0	29050	12.543	5	6939	173361180	2.022
legacy	cs-uk	ONLINE-B	none	1	2311	11	2316	3	28565	12.334	5	6789	167574371	2.048
legacy	cs-uk	Llama3-70B	none	1	2311	18	2316	8	28874	12.467	5	6902	171018514	2.027
legacy	cs-uk	ONLINE-A	none	1	2311	20	2316	10	29383	12.687	5	6942	177167997	2.14
legacy	cs-uk	ONLINE-G	none	1	2311	3	2316	0	29481	12.729	5	7022	178192527	2.091
legacy	cs-uk	Gemini-1.5-Pro	none	1	2311	10	2316	2	34431	14.867	5	10963	260032261	2.52
legacy	cs-uk	Mistral-Large	none	1	2311	2	2316	0	30563	13.196	5	7686	192684373	2.187
legacy	cs-uk	Claude-3.5	none	1	2311	17	2316	11	29655	12.804	5	6964	180282593	2.144
legacy	cs-uk	GPT-4	none	1	2311	1	2316	0	29339	12.668	5	6937	176308069	2.182
legacy	cs-uk	Phi-3-Medium	none	1	2311	14	2316	10	30439	13.143	5	7821	192392763	2.194
legacy	en-cs	CUNI-DocTransformer	none	1	993	118	997	52	28138	28.223	4	7378	198199138	2.084
legacy	en-cs	CUNI-GA	none	1	993	111	997	34	28976	29.063	4	7829	210451926	2.009
legacy	en-cs	CUNI-MH	none	1	993	75	997	31	29298	29.386	4	7705	215185126	1.923
legacy	en-cs	CUNI-Transformer	none	1	993	107	997	35	27808	27.892	4	7317	193654510	1.896
legacy	en-cs	CycleL	none	1	993	0	997	0	28803	28.89	4	8719	210558891	1.903
legacy	en-cs	CycleL2	none	1	993	23	997	0	27860	27.944	4	7696	194811216	1.882
legacy	en-cs	IKUN	none	1	993	112	997	42	27884	27.968	4	7395	194785782	1.908
legacy	en-cs	IKUN-C	none	1	993	101	997	38	27267	27.349	4	7242	186214481	1.85
legacy	en-cs	IOL-Research	none	1	993	55	997	13	27875	27.959	4	7358	194620245	1.86
legacy	en-cs	NVIDIA-NeMo	none	1	993	50	997	8	28224	28.309	4	7739	199851298	1.887
legacy	en-cs	SCIR-MT	none	1	993	109	997	41	28283	28.368	4	7605	200597799	1.908
legacy	en-cs	TranssionMT	none	1	993	5	997	1	28649	28.735	4	7586	205572921	1.888
legacy	en-cs	TSU-HITs	none	1	993	10	997	0	18495	18.551	4	5445	86798859	1.321
legacy	en-cs	Unbabel-Tower70B	none	1	993	113	997	43	28678	28.764	4	7792	206349402	1.975
legacy	en-cs	Aya23	none	1	993	80	997	23	28132	28.217	4	7431	198277494	1.903
legacy	en-cs	CommandR-plus	none	1	993	93	997	37	28674	28.76	4	7639	206015932	1.968
legacy	en-cs	ONLINE-W	none	1	993	0	997	0	28259	28.344	4	7413	199994799	1.81
legacy	en-cs	ONLINE-B	none	1	993	10	997	0	27715	27.798	4	7287	192343073	1.841
