label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
spm128k	cs-uk	BJFU-LPT	spm128k	1	2311	1491	2316	1008	24742	10.683	5	6254	128749056	6.259
spm128k	cs-uk	CUNI-Transformer	spm128k	1	2311	2115	2316	1942	28738	12.408	5	6854	169538818	6.664
spm128k	cs-uk	CycleL	spm128k	1	2311	368	2316	50	22513	9.721	5	6142	105763111	6.582
spm128k	cs-uk	IKUN	spm128k	1	2311	2120	2316	1962	28871	12.466	5	6855	171006579	6.643
spm128k	cs-uk	IKUN-C	spm128k	1	2311	2054	2316	1841	24802	10.709	5	6678	127648154	5.953
spm128k	cs-uk	IOL-Research	spm128k	1	2311	2113	2316	1954	28785	12.429	5	6831	169991221	6.689
spm128k	cs-uk	TranssionMT	spm128k	1	2311	2126	2316	1967	28543	12.324	5	6787	167309007	6.649
spm128k	cs-uk	Unbabel-Tower70B	spm128k	1	2311	2130	2316	1986	29942	12.928	5	7054	183685608	6.906
spm128k	cs-uk	Aya23	spm128k	1	2311	2148	2316	2008	29078	12.555	5	6874	173153986	6.758
spm128k	cs-uk	CommandR-plus	spm128k	1	2311	2119	2316	1955	29355	12.675	5	6996	176789167	6.846
spm128k	cs-uk	ONLINE-W	spm128k	1	2311	2098	2316	1925	29050	12.543	5	6939	173361180	7.085
spm128k	cs-uk	ONLINE-B	spm128k	1	2311	2124	2316	1966	28565	12.334	5	6789	167574371	6.677
spm128k	cs-uk	Llama3-70B	spm128k	1	2311	2128	2316	1970	28874	12.467	5	6902	171018514	6.763
spm128k	cs-uk	ONLINE-A	spm128k	1	2311	2048	2316	1852	29383	12.687	5	6942	177167997	6.87
spm128k	cs-uk	ONLINE-G	spm128k	1	2311	2062	2316	1866	29481	12.729	5	7022	178192527	6.999
spm128k	cs-uk	Gemini-1.5-Pro	spm128k	1	2311	2083	2316	1918	34431	14.867	5	10963	260032261	8.534
spm128k	cs-uk	Mistral-Large	spm128k	1	2311	2092	2316	1920	30563	13.196	5	7686	192684373	7.607
spm128k	cs-uk	Claude-3.5	spm128k	1	2311	2166	2316	2048	29655	12.804	5	6964	180282593	6.937
spm128k	cs-uk	GPT-4	spm128k	1	2311	2129	2316	1987	29339	12.668	5	6937	176308069	6.772
spm128k	cs-uk	Phi-3-Medium	spm128k	1	2311	2013	2316	1765	30439	13.143	5	7821	192392763	7.345
spm128k	en-cs	CUNI-DocTransformer	spm128k	1	993	883	997	796	28138	28.223	4	7378	198199138	9.392
spm128k	en-cs	CUNI-GA	spm128k	1	993	803	997	650	28976	29.063	4	7829	210451926	9.422
spm128k	en-cs	CUNI-MH	spm128k	1	993	870	997	771	29298	29.386	4	7705	215185126	9.577
spm128k	en-cs	CUNI-Transformer	spm128k	1	993	893	997	811	27808	27.892	4	7317	193654510	9.182
spm128k	en-cs	CycleL	spm128k	1	993	244	997	81	28803	28.89	4	8719	210558891	10.288
spm128k	en-cs	CycleL2	spm128k	1	993	611	997	414	27860	27.944	4	7696	194811216	9.711
spm128k	en-cs	IKUN	spm128k	1	993	795	997	648	27884	27.968	4	7395	194785782	9.22
spm128k	en-cs	IKUN-C	spm128k	1	993	859	997	753	27267	27.349	4	7242	186214481	9.074
spm128k	en-cs	IOL-Research	spm128k	1	993	874	997	779	27875	27.959	4	7358	194620245	9.204
spm128k	en-cs	NVIDIA-NeMo	spm128k	1	993	815	997	680	28224	28.309	4	7739	199851298	9.207
spm128k	en-cs	SCIR-MT	spm128k	1	993	842	997	725	28283	28.368	4	7605	200597799	9.836
spm128k	en-cs	TranssionMT	spm128k	1	993	868	997	764	28649	28.735	4	7586	205572921	9.735
spm128k	en-cs	TSU-HITs	spm128k	1	993	337	997	130	18495	18.551	4	5445	86798859	6.521
spm128k	en-cs	Unbabel-Tower70B	spm128k	1	993	866	997	767	28678	28.764	4	7792	206349402	9.334
spm128k	en-cs	Aya23	spm128k	1	993	871	997	773	28132	28.217	4	7431	198277494	9.148
spm128k	en-cs	CommandR-plus	spm128k	1	993	868	997	765	28674	28.76	4	7639	206015932	9.435
spm128k	en-cs	ONLINE-W	spm128k	1	993	887	997	797	28259	28.344	4	7413	199994799	9.202
spm128k	en-cs	ONLINE-B	spm128k	1	993	891	997	803	27715	27.798	4	7287	192343073	9.18
spm128k	en-cs	Llama3-70B	spm128k	1	993	855	997	743	28244	28.329	4	7679	200037684	9.477
spm128k	en-cs	ONLINE-A	spm128k	1	993	864	997	757	28441	28.527	4	7479	202563267	9.24
spm128k	en-cs	ONLINE-G	spm128k	1	993	862	997	753	27595	27.678	4	7389	190843371	8.981
spm128k	en-cs	Gemini-1.5-Pro	spm128k	1	993	854	997	753	31991	32.087	4	10764	266259225	10.116
spm128k	en-cs	Mistral-Large	spm128k	1	993	871	997	770	29228	29.316	4	8123	214535490	9.433
spm128k	en-cs	Claude-3.5	spm128k	1	993	889	997	806	28343	28.428	4	7742	201613657	9.222
spm128k	en-cs	GPT-4	spm128k	1	993	877	997	787	28062	28.146	4	7491	197333990	9.217
spm128k	en-cs	Phi-3-Medium	spm128k	1	993	773	997	597	29860	29.95	4	8207	224426588	9.86
spm128k	en-de	AIST-AIRC	spm128k	1	993	855	997	745	31031	31.124	4	8132	240918625	5.874
spm128k	en-de	CUNI-NL	spm128k	1	993	829	997	712	29483	29.572	4	7911	217833675	5.555
spm128k	en-de	CycleL	spm128k	1	993	676	997	497	29189	29.277	4	8238	214205105	5.744
spm128k	en-de	CycleL2	spm128k	1	993	676	997	497	29189	29.277	4	8238	214205105	5.769
