langpair	system	metric	segmenter	manual	realigned	delta
cs-uk	BJFU-LPT	bleu	none	21.4126	20.6464	-0.7663
cs-uk	BJFU-LPT	chrfpp	none	39.1501	37.8837	-1.2665
cs-uk	BJFU-LPT	bleu	flores200	21.4126	21.1412	-0.2715
cs-uk	BJFU-LPT	chrfpp	flores200	39.1501	38.6016	-0.5485
cs-uk	BJFU-LPT	bleu	spm32k	21.4126	21.0616	-0.3511
cs-uk	BJFU-LPT	chrfpp	spm32k	39.1501	38.5950	-0.5551
cs-uk	BJFU-LPT	bleu	spm64k	21.4126	21.1381	-0.2746
cs-uk	BJFU-LPT	chrfpp	spm64k	39.1501	38.6554	-0.4947
cs-uk	BJFU-LPT	bleu	spm128k	21.4126	21.0715	-0.3411
cs-uk	BJFU-LPT	chrfpp	spm128k	39.1501	38.5359	-0.6143
cs-uk	BJFU-LPT	bleu	spm256k	21.4126	21.1261	-0.2866
cs-uk	BJFU-LPT	chrfpp	spm256k	39.1501	38.6193	-0.5308
cs-uk	CUNI-Transformer	bleu	none	37.5397	37.3795	-0.1602
cs-uk	CUNI-Transformer	chrfpp	none	54.7266	54.4014	-0.3252
cs-uk	CUNI-Transformer	bleu	flores200	37.5397	37.4724	-0.0672
cs-uk	CUNI-Transformer	chrfpp	flores200	54.7266	54.5775	-0.1491
cs-uk	CUNI-Transformer	bleu	spm32k	37.5397	37.4886	-0.0511
cs-uk	CUNI-Transformer	chrfpp	spm32k	54.7266	54.5999	-0.1268
cs-uk	CUNI-Transformer	bleu	spm64k	37.5397	37.4527	-0.0870
cs-uk	CUNI-Transformer	chrfpp	spm64k	54.7266	54.5624	-0.1643
cs-uk	CUNI-Transformer	bleu	spm128k	37.5397	37.4719	-0.0678
cs-uk	CUNI-Transformer	chrfpp	spm128k	54.7266	54.5911	-0.1355
cs-uk	CUNI-Transformer	bleu	spm256k	37.5397	37.4814	-0.0583
cs-uk	CUNI-Transformer	chrfpp	spm256k	54.7266	54.6024	-0.1243
cs-uk	CycleL	bleu	none	0.0265	0.0215	-0.0050
cs-uk	CycleL	chrfpp	none	0.9847	0.8515	-0.1332
cs-uk	CycleL	bleu	flores200	0.0265	0.0166	-0.0099
cs-uk	CycleL	chrfpp	flores200	0.9847	0.8589	-0.1258
cs-uk	CycleL	bleu	spm32k	0.0265	0.0178	-0.0087
cs-uk	CycleL	chrfpp	spm32k	0.9847	0.8822	-0.1024
cs-uk	CycleL	bleu	spm64k	0.0265	0.0163	-0.0102
cs-uk	CycleL	chrfpp	spm64k	0.9847	0.8741	-0.1106
cs-uk	CycleL	bleu	spm128k	0.0265	0.0169	-0.0096
cs-uk	CycleL	chrfpp	spm128k	0.9847	0.8535	-0.1312
cs-uk	CycleL	bleu	spm256k	0.0265	0.0102	-0.0163
cs-uk	CycleL	chrfpp	spm256k	0.9847	0.8367	-0.1480
cs-uk	IKUN	bleu	none	36.7951	36.6282	-0.1669
