langpair	system	metric	segmenter	manual	realigned	delta
en-cs	CUNI-DocTransformer	bleu	none	38.8346	38.6901	-0.1445
en-cs	CUNI-DocTransformer	chrfpp	none	54.9181	54.7164	-0.2017
en-cs	CUNI-DocTransformer	bleu	flores200	38.8346	38.7602	-0.0744
en-cs	CUNI-DocTransformer	chrfpp	flores200	54.9181	54.8091	-0.1090
en-cs	CUNI-DocTransformer	bleu	spm32k	38.8346	38.7703	-0.0644
en-cs	CUNI-DocTransformer	chrfpp	spm32k	54.9181	54.8147	-0.1034
en-cs	CUNI-DocTransformer	bleu	spm64k	38.8346	38.7551	-0.0796
en-cs	CUNI-DocTransformer	chrfpp	spm64k	54.9181	54.7960	-0.1221
en-cs	CUNI-DocTransformer	bleu	spm128k	38.8346	38.7743	-0.0604
en-cs	CUNI-DocTransformer	chrfpp	spm128k	54.9181	54.8141	-0.1040
en-cs	CUNI-DocTransformer	bleu	spm256k	38.8346	38.7646	-0.0700
en-cs	CUNI-DocTransformer	chrfpp	spm256k	54.9181	54.8197	-0.0984
en-cs	CUNI-GA	bleu	none	34.1882	33.7569	-0.4313
en-cs	CUNI-GA	chrfpp	none	52.1269	51.5890	-0.5380
en-cs	CUNI-GA	bleu	flores200	34.1882	34.0989	-0.0893
en-cs	CUNI-GA	chrfpp	flores200	52.1269	52.0114	-0.1155
en-cs	CUNI-GA	bleu	spm32k	34.1882	34.0900	-0.0983
en-cs	CUNI-GA	chrfpp	spm32k	52.1269	52.0023	-0.1246
en-cs	CUNI-GA	bleu	spm64k	34.1882	34.0835	-0.1047
en-cs	CUNI-GA	chrfpp	spm64k	52.1269	51.9999	-0.1270
en-cs	CUNI-GA	bleu	spm128k	34.1882	34.0724	-0.1159
en-cs	CUNI-GA	chrfpp	spm128k	52.1269	51.9840	-0.1429
en-cs	CUNI-GA	bleu	spm256k	34.1882	34.0545	-0.1337
en-cs	CUNI-GA	chrfpp	spm256k	52.1269	51.9568	-0.1701
en-cs	CUNI-MH	bleu	none	35.3309	34.9677	-0.3632
en-cs	CUNI-MH	chrfpp	none	53.0616	52.7238	-0.3378
en-cs	CUNI-MH	bleu	flores200	35.3309	35.2701	-0.0608
en-cs	CUNI-MH	chrfpp	flores200	53.0616	52.9938	-0.0678
en-cs	CUNI-MH	bleu	spm32k	35.3309	35.2678	-0.0631
en-cs	CUNI-MH	chrfpp	spm32k	53.0616	52.9816	-0.0800
en-cs	CUNI-MH	bleu	spm64k	35.3309	35.2390	-0.0919
en-cs	CUNI-MH	chrfpp	spm64k	53.0616	52.9592	-0.1024
en-cs	CUNI-MH	bleu	spm128k	35.3309	35.2471	-0.0838
en-cs	CUNI-MH	chrfpp	spm128k	53.0616	52.9607	-0.1009
en-cs	CUNI-MH	bleu	spm256k	35.3309	35.2685	-0.0624
en-cs	CUNI-MH	chrfpp	spm256k	53.0616	52.9731	-0.0885
en-cs	CUNI-Transformer	bleu	none	38.0963	37.9345	-0.1617
en-cs	CUNI-Transformer	chrfpp	none	54.3591	54.1478	-0.2113
en-cs	CUNI-Transformer	bleu	flores200	38.0963	38.0303	-0.0660
en-cs	CUNI-Transformer	chrfpp	flores200	54.3591	54.2780	-0.0810
en-cs	CUNI-Transformer	bleu	spm32k	38.0963	38.0349	-0.0614
en-cs	CUNI-Transformer	chrfpp	spm32k	54.3591	54.2683	-0.0907
en-cs	CUNI-Transformer	bleu	spm64k	38.0963	38.0151	-0.0812
en-cs	CUNI-Transformer	chrfpp	spm64k	54.3591	54.2506	-0.1084
en-cs	CUNI-Transformer	bleu	spm128k	38.0963	38.0270	-0.0693
en-cs	CUNI-Transformer	chrfpp	spm128k	54.3591	54.2623	-0.0967
en-cs	CUNI-Transformer	bleu	spm256k	38.0963	38.0347	-0.0616
en-cs	CUNI-Transformer	chrfpp	spm256k	54.3591	54.2690	-0.0900
en-cs	CycleL	bleu	none	1.1805	0.7883	-0.3922
en-cs	CycleL	chrfpp	none	18.6089	17.6428	-0.9661
en-cs	CycleL	bleu	flores200	1.1805	0.8882	-0.2923
en-cs	CycleL	chrfpp	flores200	18.6089	17.9296	-0.6793
en-cs	CycleL	bleu	spm32k	1.1805	0.9030	-0.2775
en-cs	CycleL	chrfpp	spm32k	18.6089	18.0904	-0.5185
en-cs	CycleL	bleu	spm64k	1.1805	0.9149	-0.2656
en-cs	CycleL	chrfpp	spm64k	18.6089	18.1116	-0.4973
