langpair	system	metric	segmenter	manual	realigned	delta
en-de	AIST-AIRC	bleu	none	41.2575	40.9501	-0.3074
en-de	AIST-AIRC	chrfpp	none	55.0451	54.7525	-0.2926
en-de	AIST-AIRC	bleu	flores200	41.2575	41.1483	-0.1092
en-de	AIST-AIRC	chrfpp	flores200	55.0451	54.8806	-0.1645
en-de	AIST-AIRC	bleu	spm32k	41.2575	41.1150	-0.1425
en-de	AIST-AIRC	chrfpp	spm32k	55.0451	54.8888	-0.1563
en-de	AIST-AIRC	bleu	spm64k	41.2575	41.1273	-0.1302
en-de	AIST-AIRC	chrfpp	spm64k	55.0451	54.8527	-0.1924
en-de	AIST-AIRC	bleu	spm128k	41.2575	41.1210	-0.1365
en-de	AIST-AIRC	chrfpp	spm128k	55.0451	54.8688	-0.1763
en-de	AIST-AIRC	bleu	spm256k	41.2575	41.1818	-0.0757
en-de	AIST-AIRC	chrfpp	spm256k	55.0451	54.8691	-0.1760
en-de	CUNI-NL	bleu	none	38.8099	38.3878	-0.4220
en-de	CUNI-NL	chrfpp	none	53.3074	52.8759	-0.4315
en-de	CUNI-NL	bleu	flores200	38.8099	38.7689	-0.0410
en-de	CUNI-NL	chrfpp	flores200	53.3074	53.0749	-0.2325
en-de	CUNI-NL	bleu	spm32k	38.8099	38.7039	-0.1060
en-de	CUNI-NL	chrfpp	spm32k	53.3074	53.0745	-0.2328
en-de	CUNI-NL	bleu	spm64k	38.8099	38.6681	-0.1418
en-de	CUNI-NL	chrfpp	spm64k	53.3074	53.0912	-0.2161
en-de	CUNI-NL	bleu	spm128k	38.8099	38.6807	-0.1291
en-de	CUNI-NL	chrfpp	spm128k	53.3074	53.0588	-0.2486
en-de	CUNI-NL	bleu	spm256k	38.8099	38.7045	-0.1053
en-de	CUNI-NL	chrfpp	spm256k	53.3074	53.0829	-0.2245
en-de	CycleL	bleu	none	12.4571	12.0374	-0.4197
en-de	CycleL	chrfpp	none	34.4311	33.8114	-0.6197
en-de	CycleL	bleu	flores200	12.4571	12.3437	-0.1134
en-de	CycleL	chrfpp	flores200	34.4311	34.2012	-0.2298
en-de	CycleL	bleu	spm32k	12.4571	12.3672	-0.0899
en-de	CycleL	chrfpp	spm32k	34.4311	34.2379	-0.1932
en-de	CycleL	bleu	spm64k	12.4571	12.3191	-0.1380
en-de	CycleL	chrfpp	spm64k	34.4311	34.0924	-0.3386
en-de	CycleL	bleu	spm128k	12.4571	12.3673	-0.0898
en-de	CycleL	chrfpp	spm128k	34.4311	34.1748	-0.2563
en-de	CycleL	bleu	spm256k	12.4571	12.3483	-0.1089
en-de	CycleL	chrfpp	spm256k	34.4311	34.1850	-0.2461
en-de	CycleL2	bleu	none	12.4571	12.0374	-0.4197
en-de	CycleL2	chrfpp	none	34.4311	33.8114	-0.6197
en-de	CycleL2	bleu	flores200	12.4571	12.3437	-0.1134
en-de	CycleL2	chrfpp	flores200	34.4311	34.2012	-0.2298
en-de	CycleL2	bleu	spm32k	12.4571	12.3672	-0.0899
en-de	CycleL2	chrfpp	spm32k	34.4311	34.2379	-0.1932
en-de	CycleL2	bleu	spm64k	12.4571	12.3191	-0.1380
en-de	CycleL2	chrfpp	spm64k	34.4311	34.0924	-0.3386
en-de	CycleL2	bleu	spm128k	12.4571	12.3673	-0.0898
en-de	CycleL2	chrfpp	spm128k	34.4311	34.1748	-0.2563
en-de	CycleL2	bleu	spm256k	12.4571	12.3483	-0.1089
en-de	CycleL2	chrfpp	spm256k	34.4311	34.1850	-0.2461
en-de	Dubformer	bleu	none	53.3046	52.8343	-0.4703
