langpair	system	metric	segmenter	manual	realigned	delta
en-es	CycleL	bleu	none	2.5497	2.0805	-0.4692
en-es	CycleL	chrfpp	none	20.9843	20.2396	-0.7447
en-es	CycleL	bleu	flores200	2.5497	2.0839	-0.4658
en-es	CycleL	chrfpp	flores200	20.9843	19.9767	-1.0076
en-es	CycleL	bleu	spm32k	2.5497	2.3979	-0.1517
en-es	CycleL	chrfpp	spm32k	20.9843	20.6918	-0.2926
en-es	CycleL	bleu	spm64k	2.5497	1.9976	-0.5521
en-es	CycleL	chrfpp	spm64k	20.9843	19.8931	-1.0912
en-es	CycleL	bleu	spm128k	2.5497	2.0026	-0.5471
en-es	CycleL	chrfpp	spm128k	20.9843	19.8162	-1.1681
en-es	CycleL	bleu	spm256k	2.5497	2.0518	-0.4979
en-es	CycleL	chrfpp	spm256k	20.9843	19.9291	-1.0553
en-es	Dubformer	bleu	none	50.0557	49.9384	-0.1174
en-es	Dubformer	chrfpp	none	66.7907	66.6590	-0.1317
en-es	Dubformer	bleu	flores200	50.0557	50.0160	-0.0398
en-es	Dubformer	chrfpp	flores200	66.7907	66.7313	-0.0594
en-es	Dubformer	bleu	spm32k	50.0557	50.0297	-0.0261
en-es	Dubformer	chrfpp	spm32k	66.7907	66.7403	-0.0504
en-es	Dubformer	bleu	spm64k	50.0557	50.0323	-0.0235
en-es	Dubformer	chrfpp	spm64k	66.7907	66.7396	-0.0511
en-es	Dubformer	bleu	spm128k	50.0557	50.0254	-0.0303
en-es	Dubformer	chrfpp	spm128k	66.7907	66.7402	-0.0505
en-es	Dubformer	bleu	spm256k	50.0557	50.0189	-0.0369
en-es	Dubformer	chrfpp	spm256k	66.7907	66.7363	-0.0545
en-es	IKUN	bleu	none	41.6748	41.5435	-0.1313
en-es	IKUN	chrfpp	none	61.2679	61.0848	-0.1831
en-es	IKUN	bleu	flores200	41.6748	41.6466	-0.0282
en-es	IKUN	chrfpp	flores200	61.2679	61.2055	-0.0624
en-es	IKUN	bleu	spm32k	41.6748	41.6492	-0.0256
en-es	IKUN	chrfpp	spm32k	61.2679	61.2020	-0.0659
en-es	IKUN	bleu	spm64k	41.6748	41.6540	-0.0208
