langpair	system	metric	segmenter	manual	realigned	delta
en-hi	CycleL	bleu	none	0.7927	0.5695	-0.2233
en-hi	CycleL	chrfpp	none	16.1707	15.9168	-0.2539
en-hi	CycleL	bleu	flores200	0.7927	0.5567	-0.2360
en-hi	CycleL	chrfpp	flores200	16.1707	15.9141	-0.2566
en-hi	CycleL	bleu	spm32k	0.7927	0.6860	-0.1067
en-hi	CycleL	chrfpp	spm32k	16.1707	16.0545	-0.1162
en-hi	CycleL	bleu	spm64k	0.7927	0.6303	-0.1624
en-hi	CycleL	chrfpp	spm64k	16.1707	15.8316	-0.3390
en-hi	CycleL	bleu	spm128k	0.7927	0.6397	-0.1531
en-hi	CycleL	chrfpp	spm128k	16.1707	15.8160	-0.3547
en-hi	CycleL	bleu	spm256k	0.7927	0.6113	-0.1814
en-hi	CycleL	chrfpp	spm256k	16.1707	15.7516	-0.4190
en-hi	IKUN	bleu	none	17.1625	16.0121	-1.1504
en-hi	IKUN	chrfpp	none	33.5012	32.1045	-1.3967
en-hi	IKUN	bleu	flores200	17.1625	16.4722	-0.6903
en-hi	IKUN	chrfpp	flores200	33.5012	32.7256	-0.7757
en-hi	IKUN	bleu	spm32k	17.1625	16.1997	-0.9628
en-hi	IKUN	chrfpp	spm32k	33.5012	32.4002	-1.1010
en-hi	IKUN	bleu	spm64k	17.1625	16.2352	-0.9274
en-hi	IKUN	chrfpp	spm64k	33.5012	32.4617	-1.0396
en-hi	IKUN	bleu	spm128k	17.1625	16.1973	-0.9653
en-hi	IKUN	chrfpp	spm128k	33.5012	32.3286	-1.1726
en-hi	IKUN	bleu	spm256k	17.1625	16.4319	-0.7306
en-hi	IKUN	chrfpp	spm256k	33.5012	32.6629	-0.8383
en-hi	IKUN-C	bleu	none	19.0560	18.5505	-0.5055
en-hi	IKUN-C	chrfpp	none	36.9284	36.2460	-0.6823
en-hi	IKUN-C	bleu	flores200	19.0560	18.7432	-0.3128
en-hi	IKUN-C	chrfpp	flores200	36.9284	36.6241	-0.3043
en-hi	IKUN-C	bleu	spm32k	19.0560	18.6989	-0.3571
en-hi	IKUN-C	chrfpp	spm32k	36.9284	36.4927	-0.4356
en-hi	IKUN-C	bleu	spm64k	19.0560	18.7688	-0.2871
en-hi	IKUN-C	chrfpp	spm64k	36.9284	36.5625	-0.3659
en-hi	IKUN-C	bleu	spm128k	19.0560	18.7458	-0.3101
en-hi	IKUN-C	chrfpp	spm128k	36.9284	36.5451	-0.3833
en-hi	IKUN-C	bleu	spm256k	19.0560	18.7205	-0.3355
en-hi	IKUN-C	chrfpp	spm256k	36.9284	36.5359	-0.3925
en-hi	IOL-Research	bleu	none	29.6078	29.3703	-0.2376
en-hi	IOL-Research	chrfpp	none	48.7715	48.4312	-0.3403
en-hi	IOL-Research	bleu	flores200	29.6078	29.5052	-0.1026
en-hi	IOL-Research	chrfpp	flores200	48.7715	48.6017	-0.1698
en-hi	IOL-Research	bleu	spm32k	29.6078	29.4789	-0.1290
en-hi	IOL-Research	chrfpp	spm32k	48.7715	48.5945	-0.1770
en-hi	IOL-Research	bleu	spm64k	29.6078	29.4852	-0.1227
en-hi	IOL-Research	chrfpp	spm64k	48.7715	48.5954	-0.1761
en-hi	IOL-Research	bleu	spm128k	29.6078	29.4674	-0.1404
en-hi	IOL-Research	chrfpp	spm128k	48.7715	48.5701	-0.2014
en-hi	IOL-Research	bleu	spm256k	29.6078	29.4624	-0.1454
en-hi	IOL-Research	chrfpp	spm256k	48.7715	48.5699	-0.2016
en-hi	NVIDIA-NeMo	bleu	none	22.9541	22.6017	-0.3525
en-hi	NVIDIA-NeMo	chrfpp	none	43.7685	43.1736	-0.5949
en-hi	NVIDIA-NeMo	bleu	flores200	22.9541	22.8304	-0.1237
en-hi	NVIDIA-NeMo	chrfpp	flores200	43.7685	43.5767	-0.1918
en-hi	NVIDIA-NeMo	bleu	spm32k	22.9541	22.8260	-0.1282
en-hi	NVIDIA-NeMo	chrfpp	spm32k	43.7685	43.5940	-0.1745
en-hi	NVIDIA-NeMo	bleu	spm64k	22.9541	22.8241	-0.1300
en-hi	NVIDIA-NeMo	chrfpp	spm64k	43.7685	43.5793	-0.1892
en-hi	NVIDIA-NeMo	bleu	spm128k	22.9541	22.8303	-0.1238
en-hi	NVIDIA-NeMo	chrfpp	spm128k	43.7685	43.6007	-0.1678
en-hi	NVIDIA-NeMo	bleu	spm256k	22.9541	22.8399	-0.1143
en-hi	NVIDIA-NeMo	chrfpp	spm256k	43.7685	43.5978	-0.1707
en-hi	TranssionMT	bleu	none	33.2895	33.0454	-0.2441
en-hi	TranssionMT	chrfpp	none	51.6198	51.3359	-0.2839
en-hi	TranssionMT	bleu	flores200	33.2895	33.1925	-0.0970
en-hi	TranssionMT	chrfpp	flores200	51.6198	51.4987	-0.1211
en-hi	TranssionMT	bleu	spm32k	33.2895	33.2048	-0.0847
en-hi	TranssionMT	chrfpp	spm32k	51.6198	51.4931	-0.1268
en-hi	TranssionMT	bleu	spm64k	33.2895	33.1848	-0.1047
en-hi	TranssionMT	chrfpp	spm64k	51.6198	51.4722	-0.1476
en-hi	TranssionMT	bleu	spm128k	33.2895	33.1844	-0.1051
en-hi	TranssionMT	chrfpp	spm128k	51.6198	51.4795	-0.1403
en-hi	TranssionMT	bleu	spm256k	33.2895	33.1826	-0.1069
en-hi	TranssionMT	chrfpp	spm256k	51.6198	51.4850	-0.1348
en-hi	Unbabel-Tower70B	bleu	none	28.4094	28.2117	-0.1978
en-hi	Unbabel-Tower70B	chrfpp	none	48.2508	47.9988	-0.2519
en-hi	Unbabel-Tower70B	bleu	flores200	28.4094	28.3189	-0.0905
en-hi	Unbabel-Tower70B	chrfpp	flores200	48.2508	48.1436	-0.1072
en-hi	Unbabel-Tower70B	bleu	spm32k	28.4094	28.2938	-0.1156
en-hi	Unbabel-Tower70B	chrfpp	spm32k	48.2508	48.1068	-0.1439
en-hi	Unbabel-Tower70B	bleu	spm64k	28.4094	28.2986	-0.1108
en-hi	Unbabel-Tower70B	chrfpp	spm64k	48.2508	48.0990	-0.1517
en-hi	Unbabel-Tower70B	bleu	spm128k	28.4094	28.3208	-0.0886
en-hi	Unbabel-Tower70B	chrfpp	spm128k	48.2508	48.1286	-0.1222
en-hi	Unbabel-Tower70B	bleu	spm256k	28.4094	28.3255	-0.0840
en-hi	Unbabel-Tower70B	chrfpp	spm256k	48.2508	48.1264	-0.1244
en-hi	Aya23	bleu	none	25.9753	25.7702	-0.2051
en-hi	Aya23	chrfpp	none	45.3242	45.0467	-0.2775
en-hi	Aya23	bleu	flores200	25.9753	25.8343	-0.1410
en-hi	Aya23	chrfpp	flores200	45.3242	45.1592	-0.1649
en-hi	Aya23	bleu	spm32k	25.9753	25.8495	-0.1258
en-hi	Aya23	chrfpp	spm32k	45.3242	45.1683	-0.1559
en-hi	Aya23	bleu	spm64k	25.9753	25.8857	-0.0896
en-hi	Aya23	chrfpp	spm64k	45.3242	45.1953	-0.1289
en-hi	Aya23	bleu	spm128k	25.9753	25.8698	-0.1055
en-hi	Aya23	chrfpp	spm128k	45.3242	45.1807	-0.1435
en-hi	Aya23	bleu	spm256k	25.9753	25.8433	-0.1321
en-hi	Aya23	chrfpp	spm256k	45.3242	45.1705	-0.1537
en-hi	CommandR-plus	bleu	none	25.8702	25.6799	-0.1903
en-hi	CommandR-plus	chrfpp	none	45.9830	45.6916	-0.2914
en-hi	CommandR-plus	bleu	flores200	25.8702	25.7743	-0.0959
en-hi	CommandR-plus	chrfpp	flores200	45.9830	45.8340	-0.1490
en-hi	CommandR-plus	bleu	spm32k	25.8702	25.7510	-0.1192
en-hi	CommandR-plus	chrfpp	spm32k	45.9830	45.8320	-0.1510
en-hi	CommandR-plus	bleu	spm64k	25.8702	25.7394	-0.1308
en-hi	CommandR-plus	chrfpp	spm64k	45.9830	45.8052	-0.1778
en-hi	CommandR-plus	bleu	spm128k	25.8702	25.8054	-0.0648
en-hi	CommandR-plus	chrfpp	spm128k	45.9830	45.8792	-0.1038
en-hi	CommandR-plus	bleu	spm256k	25.8702	25.7593	-0.1109
en-hi	CommandR-plus	chrfpp	spm256k	45.9830	45.8296	-0.1534
en-hi	ONLINE-empty	bleu	none	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	chrfpp	none	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	bleu	flores200	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	chrfpp	flores200	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	bleu	spm32k	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	chrfpp	spm32k	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	bleu	spm64k	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	chrfpp	spm64k	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	bleu	spm128k	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	chrfpp	spm128k	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	bleu	spm256k	0.0000	0.0000	0.0000
en-hi	ONLINE-empty	chrfpp	spm256k	0.0000	0.0000	0.0000
en-hi	ONLINE-B	bleu	none	32.1073	31.8831	-0.2242
en-hi	ONLINE-B	chrfpp	none	51.0488	50.7851	-0.2637
en-hi	ONLINE-B	bleu	flores200	32.1073	31.9940	-0.1133
en-hi	ONLINE-B	chrfpp	flores200	51.0488	50.9058	-0.1430
en-hi	ONLINE-B	bleu	spm32k	32.1073	32.0054	-0.1019
en-hi	ONLINE-B	chrfpp	spm32k	51.0488	50.9241	-0.1247
en-hi	ONLINE-B	bleu	spm64k	32.1073	31.9883	-0.1190
en-hi	ONLINE-B	chrfpp	spm64k	51.0488	50.9023	-0.1465
en-hi	ONLINE-B	bleu	spm128k	32.1073	31.9755	-0.1318
en-hi	ONLINE-B	chrfpp	spm128k	51.0488	50.8791	-0.1697
en-hi	ONLINE-B	bleu	spm256k	32.1073	31.9950	-0.1123
en-hi	ONLINE-B	chrfpp	spm256k	51.0488	50.9178	-0.1310
en-hi	Llama3-70B	bleu	none	27.4536	27.1935	-0.2601
en-hi	Llama3-70B	chrfpp	none	46.7318	46.4016	-0.3302
en-hi	Llama3-70B	bleu	flores200	27.4536	27.3456	-0.1080
en-hi	Llama3-70B	chrfpp	flores200	46.7318	46.6191	-0.1127
en-hi	Llama3-70B	bleu	spm32k	27.4536	27.3220	-0.1316
en-hi	Llama3-70B	chrfpp	spm32k	46.7318	46.5506	-0.1811
en-hi	Llama3-70B	bleu	spm64k	27.4536	27.3339	-0.1197
en-hi	Llama3-70B	chrfpp	spm64k	46.7318	46.5675	-0.1643
en-hi	Llama3-70B	bleu	spm128k	27.4536	27.3522	-0.1014
en-hi	Llama3-70B	chrfpp	spm128k	46.7318	46.5795	-0.1523
en-hi	Llama3-70B	bleu	spm256k	27.4536	27.3440	-0.1096
en-hi	Llama3-70B	chrfpp	spm256k	46.7318	46.5865	-0.1453
en-hi	ONLINE-A	bleu	none	29.6771	29.4582	-0.2190
en-hi	ONLINE-A	chrfpp	none	48.7787	48.4726	-0.3061
en-hi	ONLINE-A	bleu	flores200	29.6771	29.5732	-0.1039
en-hi	ONLINE-A	chrfpp	flores200	48.7787	48.6067	-0.1720
en-hi	ONLINE-A	bleu	spm32k	29.6771	29.5737	-0.1035
en-hi	ONLINE-A	chrfpp	spm32k	48.7787	48.6383	-0.1404
en-hi	ONLINE-A	bleu	spm64k	29.6771	29.5498	-0.1274
en-hi	ONLINE-A	chrfpp	spm64k	48.7787	48.6004	-0.1783
en-hi	ONLINE-A	bleu	spm128k	29.6771	29.5433	-0.1339
en-hi	ONLINE-A	chrfpp	spm128k	48.7787	48.5872	-0.1915
en-hi	ONLINE-A	bleu	spm256k	29.6771	29.5588	-0.1184
en-hi	ONLINE-A	chrfpp	spm256k	48.7787	48.5955	-0.1832
en-hi	ONLINE-G	bleu	none	24.9737	24.6880	-0.2857
en-hi	ONLINE-G	chrfpp	none	46.3186	45.8788	-0.4398
en-hi	ONLINE-G	bleu	flores200	24.9737	24.8346	-0.1391
en-hi	ONLINE-G	chrfpp	flores200	46.3186	46.0978	-0.2208
en-hi	ONLINE-G	bleu	spm32k	24.9737	24.8435	-0.1302
en-hi	ONLINE-G	chrfpp	spm32k	46.3186	46.1234	-0.1952
en-hi	ONLINE-G	bleu	spm64k	24.9737	24.8797	-0.0940
en-hi	ONLINE-G	chrfpp	spm64k	46.3186	46.1421	-0.1765
en-hi	ONLINE-G	bleu	spm128k	24.9737	24.8411	-0.1325
en-hi	ONLINE-G	chrfpp	spm128k	46.3186	46.1106	-0.2080
en-hi	ONLINE-G	bleu	spm256k	24.9737	24.8542	-0.1195
en-hi	ONLINE-G	chrfpp	spm256k	46.3186	46.1062	-0.2124
en-hi	Gemini-1.5-Pro	bleu	none	31.3821	31.1912	-0.1909
en-hi	Gemini-1.5-Pro	chrfpp	none	50.3541	50.1244	-0.2297
en-hi	Gemini-1.5-Pro	bleu	flores200	31.3821	31.2990	-0.0831
en-hi	Gemini-1.5-Pro	chrfpp	flores200	50.3541	50.4242	0.0701
en-hi	Gemini-1.5-Pro	bleu	spm32k	31.3821	31.2409	-0.1412
en-hi	Gemini-1.5-Pro	chrfpp	spm32k	50.3541	50.1954	-0.1587
en-hi	Gemini-1.5-Pro	bleu	spm64k	31.3821	31.2716	-0.1105
en-hi	Gemini-1.5-Pro	chrfpp	spm64k	50.3541	50.2205	-0.1336
en-hi	Gemini-1.5-Pro	bleu	spm128k	31.3821	31.2799	-0.1021
en-hi	Gemini-1.5-Pro	chrfpp	spm128k	50.3541	50.2129	-0.1412
en-hi	Gemini-1.5-Pro	bleu	spm256k	31.3821	31.2807	-0.1014
en-hi	Gemini-1.5-Pro	chrfpp	spm256k	50.3541	50.2223	-0.1318
en-hi	Mistral-Large	bleu	none	19.2770	19.0004	-0.2766
en-hi	Mistral-Large	chrfpp	none	40.5169	40.1712	-0.3457
en-hi	Mistral-Large	bleu	flores200	19.2770	19.1782	-0.0988
en-hi	Mistral-Large	chrfpp	flores200	40.5169	40.4342	-0.0827
en-hi	Mistral-Large	bleu	spm32k	19.2770	19.1619	-0.1151
en-hi	Mistral-Large	chrfpp	spm32k	40.5169	40.3520	-0.1648
en-hi	Mistral-Large	bleu	spm64k	19.2770	19.1583	-0.1187
en-hi	Mistral-Large	chrfpp	spm64k	40.5169	40.3269	-0.1900
en-hi	Mistral-Large	bleu	spm128k	19.2770	19.1802	-0.0968
en-hi	Mistral-Large	chrfpp	spm128k	40.5169	40.3544	-0.1624
en-hi	Mistral-Large	bleu	spm256k	19.2770	19.2015	-0.0755
en-hi	Mistral-Large	chrfpp	spm256k	40.5169	40.4088	-0.1081
en-hi	Claude-3.5	bleu	none	32.3920	32.1487	-0.2433
en-hi	Claude-3.5	chrfpp	none	50.9485	50.6492	-0.2992
en-hi	Claude-3.5	bleu	flores200	32.3920	32.3023	-0.0897
en-hi	Claude-3.5	chrfpp	flores200	50.9485	50.8052	-0.1432
en-hi	Claude-3.5	bleu	spm32k	32.3920	32.2661	-0.1259
en-hi	Claude-3.5	chrfpp	spm32k	50.9485	50.8043	-0.1442
en-hi	Claude-3.5	bleu	spm64k	32.3920	32.2737	-0.1184
en-hi	Claude-3.5	chrfpp	spm64k	50.9485	50.7995	-0.1490
en-hi	Claude-3.5	bleu	spm128k	32.3920	32.3300	-0.0621
en-hi	Claude-3.5	chrfpp	spm128k	50.9485	50.8344	-0.1140
en-hi	Claude-3.5	bleu	spm256k	32.3920	32.2910	-0.1010
en-hi	Claude-3.5	chrfpp	spm256k	50.9485	50.8044	-0.1441
en-hi	Phi-3-Medium	bleu	none	14.4656	13.9785	-0.4871
en-hi	Phi-3-Medium	chrfpp	none	36.1332	35.4311	-0.7021
en-hi	Phi-3-Medium	bleu	flores200	14.4656	14.2246	-0.2409
en-hi	Phi-3-Medium	chrfpp	flores200	36.1332	35.7713	-0.3619
en-hi	Phi-3-Medium	bleu	spm32k	14.4656	14.2864	-0.1792
en-hi	Phi-3-Medium	chrfpp	spm32k	36.1332	35.9065	-0.2267
en-hi	Phi-3-Medium	bleu	spm64k	14.4656	14.3222	-0.1434
en-hi	Phi-3-Medium	chrfpp	spm64k	36.1332	35.9149	-0.2183
en-hi	Phi-3-Medium	bleu	spm128k	14.4656	14.2151	-0.2505
en-hi	Phi-3-Medium	chrfpp	spm128k	36.1332	35.7617	-0.3715
en-hi	Phi-3-Medium	bleu	spm256k	14.4656	14.3262	-0.1394
en-hi	Phi-3-Medium	chrfpp	spm256k	36.1332	35.9076	-0.2256
