langpair	system	metric	segmenter	manual	realigned	delta
en-is	AMI	bleu	none	27.2101	27.0135	-0.1966
en-is	AMI	chrfpp	none	45.3524	45.0899	-0.2625
en-is	AMI	bleu	flores200	27.2101	27.1721	-0.0380
en-is	AMI	chrfpp	flores200	45.3524	45.2518	-0.1006
en-is	AMI	bleu	spm32k	27.2101	27.1619	-0.0481
en-is	AMI	chrfpp	spm32k	45.3524	45.2616	-0.0907
en-is	AMI	bleu	spm64k	27.2101	27.1707	-0.0394
en-is	AMI	chrfpp	spm64k	45.3524	45.2796	-0.0728
en-is	AMI	bleu	spm128k	27.2101	27.1529	-0.0571
en-is	AMI	chrfpp	spm128k	45.3524	45.2757	-0.0767
en-is	AMI	bleu	spm256k	27.2101	27.1578	-0.0522
en-is	AMI	chrfpp	spm256k	45.3524	45.2727	-0.0797
en-is	CycleL	bleu	none	3.7672	3.5335	-0.2337
en-is	CycleL	chrfpp	none	23.4016	23.0038	-0.3978
en-is	CycleL	bleu	flores200	3.7672	3.7287	-0.0386
en-is	CycleL	chrfpp	flores200	23.4016	23.2970	-0.1045
en-is	CycleL	bleu	spm32k	3.7672	3.7269	-0.0404
en-is	CycleL	chrfpp	spm32k	23.4016	23.3054	-0.0962
en-is	CycleL	bleu	spm64k	3.7672	3.7214	-0.0458
en-is	CycleL	chrfpp	spm64k	23.4016	23.3126	-0.0890
en-is	CycleL	bleu	spm128k	3.7672	3.7053	-0.0620
en-is	CycleL	chrfpp	spm128k	23.4016	23.2822	-0.1193
en-is	CycleL	bleu	spm256k	3.7672	3.6821	-0.0851
en-is	CycleL	chrfpp	spm256k	23.4016	23.2534	-0.1481
en-is	Dubformer	bleu	none	29.0285	28.8559	-0.1726
en-is	Dubformer	chrfpp	none	47.2063	46.9603	-0.2460
en-is	Dubformer	bleu	flores200	29.0285	29.0023	-0.0263
en-is	Dubformer	chrfpp	flores200	47.2063	47.1458	-0.0605
en-is	Dubformer	bleu	spm32k	29.0285	28.9792	-0.0493
en-is	Dubformer	chrfpp	spm32k	47.2063	47.1323	-0.0739
en-is	Dubformer	bleu	spm64k	29.0285	28.9720	-0.0566
en-is	Dubformer	chrfpp	spm64k	47.2063	47.1434	-0.0628
en-is	Dubformer	bleu	spm128k	29.0285	28.9883	-0.0403
en-is	Dubformer	chrfpp	spm128k	47.2063	47.1536	-0.0527
en-is	Dubformer	bleu	spm256k	29.0285	28.9976	-0.0309
en-is	Dubformer	chrfpp	spm256k	47.2063	47.1497	-0.0565
en-is	IKUN	bleu	none	23.9070	23.6669	-0.2400
en-is	IKUN	chrfpp	none	42.7907	42.4713	-0.3194
en-is	IKUN	bleu	flores200	23.9070	23.8664	-0.0406
