langpair	system	metric	segmenter	manual	realigned	delta
en-ja	AIST-AIRC	bleu	none	14.8640	3.2543	-11.6097
en-ja	AIST-AIRC	chrfpp	none	27.4050	10.5179	-16.8870
en-ja	AIST-AIRC	bleu	flores200	14.8640	14.8202	-0.0438
en-ja	AIST-AIRC	chrfpp	flores200	27.4050	27.2684	-0.1366
en-ja	AIST-AIRC	bleu	spm32k	14.8640	14.8191	-0.0449
en-ja	AIST-AIRC	chrfpp	spm32k	27.4050	27.3135	-0.0915
en-ja	AIST-AIRC	bleu	spm64k	14.8640	14.8302	-0.0339
en-ja	AIST-AIRC	chrfpp	spm64k	27.4050	27.2903	-0.1146
en-ja	AIST-AIRC	bleu	spm128k	14.8640	14.8280	-0.0361
en-ja	AIST-AIRC	chrfpp	spm128k	27.4050	27.2822	-0.1228
en-ja	AIST-AIRC	bleu	spm256k	14.8640	14.8252	-0.0388
en-ja	AIST-AIRC	chrfpp	spm256k	27.4050	27.2686	-0.1364
en-ja	CycleL	bleu	none	0.1555	0.0309	-0.1246
en-ja	CycleL	chrfpp	none	4.4780	1.3333	-3.1448
en-ja	CycleL	bleu	flores200	0.1555	0.1499	-0.0056
en-ja	CycleL	chrfpp	flores200	4.4780	4.4451	-0.0330
en-ja	CycleL	bleu	spm32k	0.1555	0.0830	-0.0725
en-ja	CycleL	chrfpp	spm32k	4.4780	4.4054	-0.0727
en-ja	CycleL	bleu	spm64k	0.1555	0.1175	-0.0380
en-ja	CycleL	chrfpp	spm64k	4.4780	4.4752	-0.0029
en-ja	CycleL	bleu	spm128k	0.1555	0.1199	-0.0356
en-ja	CycleL	chrfpp	spm128k	4.4780	4.4281	-0.0500
en-ja	CycleL	bleu	spm256k	0.1555	0.1185	-0.0370
en-ja	CycleL	chrfpp	spm256k	4.4780	4.4270	-0.0510
en-ja	DLUT-GTCOM	bleu	none	24.1231	6.8393	-17.2838
en-ja	DLUT-GTCOM	chrfpp	none	32.4027	14.8511	-17.5516
en-ja	DLUT-GTCOM	bleu	flores200	24.1231	24.1275	0.0044
en-ja	DLUT-GTCOM	chrfpp	flores200	32.4027	31.7662	-0.6364
en-ja	DLUT-GTCOM	bleu	spm32k	24.1231	24.1302	0.0071
en-ja	DLUT-GTCOM	chrfpp	spm32k	32.4027	32.4486	0.0459
en-ja	DLUT-GTCOM	bleu	spm64k	24.1231	24.1299	0.0068
en-ja	DLUT-GTCOM	chrfpp	spm64k	32.4027	32.4422	0.0395
en-ja	DLUT-GTCOM	bleu	spm128k	24.1231	24.1292	0.0061
en-ja	DLUT-GTCOM	chrfpp	spm128k	32.4027	32.4265	0.0238
en-ja	DLUT-GTCOM	bleu	spm256k	24.1231	24.1243	0.0012
en-ja	DLUT-GTCOM	chrfpp	spm256k	32.4027	32.4174	0.0147
en-ja	IKUN	bleu	none	18.4739	4.1759	-14.2980
en-ja	IKUN	chrfpp	none	26.2248	10.0284	-16.1964
en-ja	IKUN	bleu	flores200	18.4739	18.4691	-0.0049
en-ja	IKUN	chrfpp	flores200	26.2248	29.0640	2.8392
en-ja	IKUN	bleu	spm32k	18.4739	18.4567	-0.0172
en-ja	IKUN	chrfpp	spm32k	26.2248	26.2228	-0.0021
en-ja	IKUN	bleu	spm64k	18.4739	18.4621	-0.0118
en-ja	IKUN	chrfpp	spm64k	26.2248	26.2245	-0.0004
en-ja	IKUN	bleu	spm128k	18.4739	18.4522	-0.0217
en-ja	IKUN	chrfpp	spm128k	26.2248	26.2170	-0.0078
en-ja	IKUN	bleu	spm256k	18.4739	18.4533	-0.0206
en-ja	IKUN	chrfpp	spm256k	26.2248	26.1939	-0.0310
en-ja	IKUN-C	bleu	none	15.5137	5.2217	-10.2920
en-ja	IKUN-C	chrfpp	none	28.6739	15.8535	-12.8204
en-ja	IKUN-C	bleu	flores200	15.5137	15.5096	-0.0041
en-ja	IKUN-C	chrfpp	flores200	28.6739	28.2476	-0.4264
en-ja	IKUN-C	bleu	spm32k	15.5137	15.5097	-0.0040
en-ja	IKUN-C	chrfpp	spm32k	28.6739	28.6821	0.0082
en-ja	IKUN-C	bleu	spm64k	15.5137	15.5078	-0.0059
en-ja	IKUN-C	chrfpp	spm64k	28.6739	28.6847	0.0107
en-ja	IKUN-C	bleu	spm128k	15.5137	15.5084	-0.0053
en-ja	IKUN-C	chrfpp	spm128k	28.6739	28.6846	0.0106
en-ja	IKUN-C	bleu	spm256k	15.5137	15.5053	-0.0084
en-ja	IKUN-C	chrfpp	spm256k	28.6739	28.6686	-0.0054
en-ja	IOL-Research	bleu	none	21.8183	8.3058	-13.5125
en-ja	IOL-Research	chrfpp	none	31.2000	16.3574	-14.8426
en-ja	IOL-Research	bleu	flores200	21.8183	21.7851	-0.0332
en-ja	IOL-Research	chrfpp	flores200	31.2000	30.6888	-0.5112
en-ja	IOL-Research	bleu	spm32k	21.8183	21.7931	-0.0253
en-ja	IOL-Research	chrfpp	spm32k	31.2000	31.1795	-0.0205
en-ja	IOL-Research	bleu	spm64k	21.8183	21.7901	-0.0282
en-ja	IOL-Research	chrfpp	spm64k	31.2000	31.1770	-0.0230
en-ja	IOL-Research	bleu	spm128k	21.8183	21.7846	-0.0338
en-ja	IOL-Research	chrfpp	spm128k	31.2000	31.1636	-0.0364
en-ja	IOL-Research	bleu	spm256k	21.8183	21.7896	-0.0287
en-ja	IOL-Research	chrfpp	spm256k	31.2000	31.1584	-0.0416
en-ja	NTTSU	bleu	none	21.6167	5.4207	-16.1960
en-ja	NTTSU	chrfpp	none	30.3026	12.7421	-17.5605
en-ja	NTTSU	bleu	flores200	21.6167	21.6178	0.0011
en-ja	NTTSU	chrfpp	flores200	30.3026	31.5152	1.2126
en-ja	NTTSU	bleu	spm32k	21.6167	21.6138	-0.0028
en-ja	NTTSU	chrfpp	spm32k	30.3026	30.3111	0.0084
en-ja	NTTSU	bleu	spm64k	21.6167	21.6146	-0.0021
en-ja	NTTSU	chrfpp	spm64k	30.3026	30.3086	0.0060
en-ja	NTTSU	bleu	spm128k	21.6167	21.6096	-0.0071
en-ja	NTTSU	chrfpp	spm128k	30.3026	30.3076	0.0050
en-ja	NTTSU	bleu	spm256k	21.6167	21.6131	-0.0036
en-ja	NTTSU	chrfpp	spm256k	30.3026	30.3006	-0.0020
en-ja	NVIDIA-NeMo	bleu	none	13.6520	1.4496	-12.2024
en-ja	NVIDIA-NeMo	chrfpp	none	22.8044	5.8057	-16.9987
en-ja	NVIDIA-NeMo	bleu	flores200	13.6520	13.5764	-0.0755
en-ja	NVIDIA-NeMo	chrfpp	flores200	22.8044	22.7131	-0.0913
en-ja	NVIDIA-NeMo	bleu	spm32k	13.6520	13.6350	-0.0170
en-ja	NVIDIA-NeMo	chrfpp	spm32k	22.8044	22.8032	-0.0012
en-ja	NVIDIA-NeMo	bleu	spm64k	13.6520	13.5609	-0.0911
en-ja	NVIDIA-NeMo	chrfpp	spm64k	22.8044	22.6636	-0.1408
en-ja	NVIDIA-NeMo	bleu	spm128k	13.6520	13.5520	-0.1000
en-ja	NVIDIA-NeMo	chrfpp	spm128k	22.8044	22.6858	-0.1186
en-ja	NVIDIA-NeMo	bleu	spm256k	13.6520	13.5593	-0.0927
en-ja	NVIDIA-NeMo	chrfpp	spm256k	22.8044	22.6871	-0.1173
en-ja	Team-J	bleu	none	25.3761	7.5408	-17.8353
en-ja	Team-J	chrfpp	none	32.1109	14.4167	-17.6943
en-ja	Team-J	bleu	flores200	25.3761	25.3713	-0.0047
en-ja	Team-J	chrfpp	flores200	32.1109	32.0908	-0.0201
en-ja	Team-J	bleu	spm32k	25.3761	25.3735	-0.0026
en-ja	Team-J	chrfpp	spm32k	32.1109	32.1105	-0.0004
en-ja	Team-J	bleu	spm64k	25.3761	25.3724	-0.0037
en-ja	Team-J	chrfpp	spm64k	32.1109	32.1117	0.0008
en-ja	Team-J	bleu	spm128k	25.3761	25.3724	-0.0037
en-ja	Team-J	chrfpp	spm128k	32.1109	32.1099	-0.0010
en-ja	Team-J	bleu	spm256k	25.3761	25.3739	-0.0022
en-ja	Team-J	chrfpp	spm256k	32.1109	32.1011	-0.0098
en-ja	Unbabel-Tower70B	bleu	none	21.6544	6.4642	-15.1901
en-ja	Unbabel-Tower70B	chrfpp	none	30.6127	14.3548	-16.2579
en-ja	Unbabel-Tower70B	bleu	flores200	21.6544	21.6444	-0.0100
en-ja	Unbabel-Tower70B	chrfpp	flores200	30.6127	30.3268	-0.2859
en-ja	Unbabel-Tower70B	bleu	spm32k	21.6544	21.6538	-0.0005
en-ja	Unbabel-Tower70B	chrfpp	spm32k	30.6127	30.6194	0.0067
en-ja	Unbabel-Tower70B	bleu	spm64k	21.6544	21.6500	-0.0044
en-ja	Unbabel-Tower70B	chrfpp	spm64k	30.6127	30.6142	0.0015
en-ja	Unbabel-Tower70B	bleu	spm128k	21.6544	21.6493	-0.0051
en-ja	Unbabel-Tower70B	chrfpp	spm128k	30.6127	30.6024	-0.0103
en-ja	Unbabel-Tower70B	bleu	spm256k	21.6544	21.6518	-0.0026
en-ja	Unbabel-Tower70B	chrfpp	spm256k	30.6127	30.5995	-0.0132
en-ja	UvA-MT	bleu	none	11.4973	0.3976	-11.0997
en-ja	UvA-MT	chrfpp	none	21.6423	2.2113	-19.4310
en-ja	UvA-MT	bleu	flores200	11.4973	11.2829	-0.2145
en-ja	UvA-MT	chrfpp	flores200	21.6423	21.2024	-0.4399
en-ja	UvA-MT	bleu	spm32k	11.4973	11.3626	-0.1347
en-ja	UvA-MT	chrfpp	spm32k	21.6423	21.4256	-0.2167
en-ja	UvA-MT	bleu	spm64k	11.4973	11.3540	-0.1433
en-ja	UvA-MT	chrfpp	spm64k	21.6423	21.3940	-0.2483
en-ja	UvA-MT	bleu	spm128k	11.4973	11.3461	-0.1512
en-ja	UvA-MT	chrfpp	spm128k	21.6423	21.3401	-0.3022
en-ja	UvA-MT	bleu	spm256k	11.4973	11.3420	-0.1553
en-ja	UvA-MT	chrfpp	spm256k	21.6423	21.3553	-0.2870
en-ja	Aya23	bleu	none	21.6440	7.3205	-14.3234
en-ja	Aya23	chrfpp	none	30.9720	15.7331	-15.2389
en-ja	Aya23	bleu	flores200	21.6440	21.6330	-0.0110
en-ja	Aya23	chrfpp	flores200	30.9720	30.5732	-0.3988
en-ja	Aya23	bleu	spm32k	21.6440	21.6310	-0.0130
en-ja	Aya23	chrfpp	spm32k	30.9720	30.9460	-0.0259
en-ja	Aya23	bleu	spm64k	21.6440	21.6368	-0.0072
en-ja	Aya23	chrfpp	spm64k	30.9720	30.9677	-0.0043
en-ja	Aya23	bleu	spm128k	21.6440	21.6347	-0.0093
en-ja	Aya23	chrfpp	spm128k	30.9720	30.9683	-0.0037
en-ja	Aya23	bleu	spm256k	21.6440	21.6390	-0.0050
en-ja	Aya23	chrfpp	spm256k	30.9720	30.9626	-0.0094
en-ja	CommandR-plus	bleu	none	22.8232	7.0847	-15.7385
en-ja	CommandR-plus	chrfpp	none	31.1706	14.5136	-16.6570
en-ja	CommandR-plus	bleu	flores200	22.8232	22.8152	-0.0079
en-ja	CommandR-plus	chrfpp	flores200	31.1706	30.7431	-0.4274
en-ja	CommandR-plus	bleu	spm32k	22.8232	22.8152	-0.0080
en-ja	CommandR-plus	chrfpp	spm32k	31.1706	31.1603	-0.0102
en-ja	CommandR-plus	bleu	spm64k	22.8232	22.8182	-0.0050
en-ja	CommandR-plus	chrfpp	spm64k	31.1706	31.1659	-0.0047
en-ja	CommandR-plus	bleu	spm128k	22.8232	22.8153	-0.0078
en-ja	CommandR-plus	chrfpp	spm128k	31.1706	31.1591	-0.0114
en-ja	CommandR-plus	bleu	spm256k	22.8232	22.8120	-0.0112
en-ja	CommandR-plus	chrfpp	spm256k	31.1706	31.1551	-0.0155
en-ja	ONLINE-W	bleu	none	27.1133	9.8452	-17.2682
en-ja	ONLINE-W	chrfpp	none	32.8026	15.9071	-16.8955
en-ja	ONLINE-W	bleu	flores200	27.1133	27.0889	-0.0245
en-ja	ONLINE-W	chrfpp	flores200	32.8026	32.3391	-0.4635
en-ja	ONLINE-W	bleu	spm32k	27.1133	27.0998	-0.0135
en-ja	ONLINE-W	chrfpp	spm32k	32.8026	32.7424	-0.0602
en-ja	ONLINE-W	bleu	spm64k	27.1133	27.0991	-0.0143
en-ja	ONLINE-W	chrfpp	spm64k	32.8026	32.7426	-0.0600
en-ja	ONLINE-W	bleu	spm128k	27.1133	27.0972	-0.0161
en-ja	ONLINE-W	chrfpp	spm128k	32.8026	32.7420	-0.0606
en-ja	ONLINE-W	bleu	spm256k	27.1133	27.1003	-0.0130
en-ja	ONLINE-W	chrfpp	spm256k	32.8026	32.7256	-0.0770
en-ja	ONLINE-B	bleu	none	26.5888	6.4134	-20.1754
en-ja	ONLINE-B	chrfpp	none	33.5246	12.5483	-20.9762
en-ja	ONLINE-B	bleu	flores200	26.5888	26.5798	-0.0090
en-ja	ONLINE-B	chrfpp	flores200	33.5246	33.2762	-0.2483
en-ja	ONLINE-B	bleu	spm32k	26.5888	26.5858	-0.0030
en-ja	ONLINE-B	chrfpp	spm32k	33.5246	33.5064	-0.0182
en-ja	ONLINE-B	bleu	spm64k	26.5888	26.5837	-0.0051
en-ja	ONLINE-B	chrfpp	spm64k	33.5246	33.5165	-0.0081
en-ja	ONLINE-B	bleu	spm128k	26.5888	26.5875	-0.0013
en-ja	ONLINE-B	chrfpp	spm128k	33.5246	33.5210	-0.0036
en-ja	ONLINE-B	bleu	spm256k	26.5888	26.5863	-0.0025
en-ja	ONLINE-B	chrfpp	spm256k	33.5246	33.5059	-0.0186
en-ja	Llama3-70B	bleu	none	19.6917	7.4927	-12.1989
en-ja	Llama3-70B	chrfpp	none	28.8318	15.2205	-13.6113
en-ja	Llama3-70B	bleu	flores200	19.6917	19.6866	-0.0050
en-ja	Llama3-70B	chrfpp	flores200	28.8318	28.5419	-0.2899
en-ja	Llama3-70B	bleu	spm32k	19.6917	19.6836	-0.0080
en-ja	Llama3-70B	chrfpp	spm32k	28.8318	28.8287	-0.0031
en-ja	Llama3-70B	bleu	spm64k	19.6917	19.6879	-0.0037
en-ja	Llama3-70B	chrfpp	spm64k	28.8318	28.8557	0.0238
en-ja	Llama3-70B	bleu	spm128k	19.6917	19.6791	-0.0125
en-ja	Llama3-70B	chrfpp	spm128k	28.8318	28.8324	0.0006
en-ja	Llama3-70B	bleu	spm256k	19.6917	19.6805	-0.0112
en-ja	Llama3-70B	chrfpp	spm256k	28.8318	28.6750	-0.1568
