langpair	system	metric	segmenter	manual	realigned	delta
en-ru	CUNI-DS	bleu	none	22.9989	22.5593	-0.4396
en-ru	CUNI-DS	chrfpp	none	42.2901	41.6742	-0.6159
en-ru	CUNI-DS	bleu	flores200	22.9989	22.8151	-0.1837
en-ru	CUNI-DS	chrfpp	flores200	42.2901	42.0060	-0.2842
en-ru	CUNI-DS	bleu	spm32k	22.9989	22.8597	-0.1392
en-ru	CUNI-DS	chrfpp	spm32k	42.2901	42.0570	-0.2331
en-ru	CUNI-DS	bleu	spm64k	22.9989	22.8153	-0.1836
en-ru	CUNI-DS	chrfpp	spm64k	42.2901	41.9709	-0.3192
en-ru	CUNI-DS	bleu	spm128k	22.9989	22.6786	-0.3203
en-ru	CUNI-DS	chrfpp	spm128k	42.2901	41.7979	-0.4922
en-ru	CUNI-DS	bleu	spm256k	22.9989	22.7752	-0.2236
en-ru	CUNI-DS	chrfpp	spm256k	42.2901	41.9358	-0.3543
en-ru	CycleL	bleu	none	1.4767	1.1145	-0.3622
en-ru	CycleL	chrfpp	none	20.4970	19.7419	-0.7551
en-ru	CycleL	bleu	flores200	1.4767	1.2642	-0.2125
en-ru	CycleL	chrfpp	flores200	20.4970	20.1128	-0.3842
en-ru	CycleL	bleu	spm32k	1.4767	1.2255	-0.2512
en-ru	CycleL	chrfpp	spm32k	20.4970	19.9854	-0.5116
en-ru	CycleL	bleu	spm64k	1.4767	1.1954	-0.2813
en-ru	CycleL	chrfpp	spm64k	20.4970	19.8786	-0.6184
en-ru	CycleL	bleu	spm128k	1.4767	1.2401	-0.2367
en-ru	CycleL	chrfpp	spm128k	20.4970	19.8985	-0.5985
en-ru	CycleL	bleu	spm256k	1.4767	1.2492	-0.2275
en-ru	CycleL	chrfpp	spm256k	20.4970	19.9756	-0.5214
en-ru	CycleL2	bleu	none	0.5125	0.4873	-0.0252
en-ru	CycleL2	chrfpp	none	14.8927	15.3575	0.4648
en-ru	CycleL2	bleu	flores200	0.5125	0.4292	-0.0833
en-ru	CycleL2	chrfpp	flores200	14.8927	15.3681	0.4753
en-ru	CycleL2	bleu	spm32k	0.5125	0.4728	-0.0397
en-ru	CycleL2	chrfpp	spm32k	14.8927	15.4093	0.5166
