langpair	system	metric	segmenter	manual	realigned	delta
en-uk	CycleL	bleu	none	1.0132	0.8700	-0.1431
en-uk	CycleL	chrfpp	none	18.0937	17.7632	-0.3305
en-uk	CycleL	bleu	flores200	1.0132	0.9686	-0.0446
en-uk	CycleL	chrfpp	flores200	18.0937	18.0976	0.0038
en-uk	CycleL	bleu	spm32k	1.0132	0.9269	-0.0863
en-uk	CycleL	chrfpp	spm32k	18.0937	17.9872	-0.1065
en-uk	CycleL	bleu	spm64k	1.0132	0.9505	-0.0627
en-uk	CycleL	chrfpp	spm64k	18.0937	18.0269	-0.0669
en-uk	CycleL	bleu	spm128k	1.0132	0.9321	-0.0810
en-uk	CycleL	chrfpp	spm128k	18.0937	18.0482	-0.0455
en-uk	CycleL	bleu	spm256k	1.0132	0.9355	-0.0777
en-uk	CycleL	chrfpp	spm256k	18.0937	18.0770	-0.0167
en-uk	Dubformer	bleu	none	37.7395	37.6113	-0.1283
en-uk	Dubformer	chrfpp	none	54.9252	54.7498	-0.1754
en-uk	Dubformer	bleu	flores200	37.7395	37.6580	-0.0815
en-uk	Dubformer	chrfpp	flores200	54.9252	54.8197	-0.1054
en-uk	Dubformer	bleu	spm32k	37.7395	37.6814	-0.0581
en-uk	Dubformer	chrfpp	spm32k	54.9252	54.8344	-0.0908
en-uk	Dubformer	bleu	spm64k	37.7395	37.6709	-0.0687
en-uk	Dubformer	chrfpp	spm64k	54.9252	54.8374	-0.0878
en-uk	Dubformer	bleu	spm128k	37.7395	37.6851	-0.0544
en-uk	Dubformer	chrfpp	spm128k	54.9252	54.8391	-0.0860
en-uk	Dubformer	bleu	spm256k	37.7395	37.6738	-0.0657
en-uk	Dubformer	chrfpp	spm256k	54.9252	54.8352	-0.0900
en-uk	IKUN	bleu	none	31.6732	31.4058	-0.2674
en-uk	IKUN	chrfpp	none	49.9662	49.6417	-0.3245
en-uk	IKUN	bleu	flores200	31.6732	31.6188	-0.0544
en-uk	IKUN	chrfpp	flores200	49.9662	49.8739	-0.0923
en-uk	IKUN	bleu	spm32k	31.6732	31.6093	-0.0640
en-uk	IKUN	chrfpp	spm32k	49.9662	49.8693	-0.0970
en-uk	IKUN	bleu	spm64k	31.6732	31.6216	-0.0516
en-uk	IKUN	chrfpp	spm64k	49.9662	49.8846	-0.0816
en-uk	IKUN	bleu	spm128k	31.6732	31.6192	-0.0541
en-uk	IKUN	chrfpp	spm128k	49.9662	49.8701	-0.0962
en-uk	IKUN	bleu	spm256k	31.6732	31.6134	-0.0599
en-uk	IKUN	chrfpp	spm256k	49.9662	49.8682	-0.0980
en-uk	IKUN-C	bleu	none	28.3007	28.0296	-0.2711
en-uk	IKUN-C	chrfpp	none	46.6748	46.3446	-0.3302
en-uk	IKUN-C	bleu	flores200	28.3007	28.2749	-0.0258
en-uk	IKUN-C	chrfpp	flores200	46.6748	46.5996	-0.0753
en-uk	IKUN-C	bleu	spm32k	28.3007	28.2456	-0.0551
en-uk	IKUN-C	chrfpp	spm32k	46.6748	46.5895	-0.0853
en-uk	IKUN-C	bleu	spm64k	28.3007	28.2538	-0.0469
en-uk	IKUN-C	chrfpp	spm64k	46.6748	46.5994	-0.0754
en-uk	IKUN-C	bleu	spm128k	28.3007	28.2574	-0.0434
en-uk	IKUN-C	chrfpp	spm128k	46.6748	46.6035	-0.0713
en-uk	IKUN-C	bleu	spm256k	28.3007	28.2471	-0.0536
en-uk	IKUN-C	chrfpp	spm256k	46.6748	46.5904	-0.0844
en-uk	IOL-Research	bleu	none	35.6337	35.4767	-0.1570
en-uk	IOL-Research	chrfpp	none	53.5713	53.3679	-0.2033
en-uk	IOL-Research	bleu	flores200	35.6337	35.6109	-0.0228
en-uk	IOL-Research	chrfpp	flores200	53.5713	53.5085	-0.0627
en-uk	IOL-Research	bleu	spm32k	35.6337	35.5859	-0.0478
en-uk	IOL-Research	chrfpp	spm32k	53.5713	53.5041	-0.0672
en-uk	IOL-Research	bleu	spm64k	35.6337	35.5931	-0.0406
en-uk	IOL-Research	chrfpp	spm64k	53.5713	53.5091	-0.0621
en-uk	IOL-Research	bleu	spm128k	35.6337	35.5939	-0.0398
en-uk	IOL-Research	chrfpp	spm128k	53.5713	53.5045	-0.0668
en-uk	IOL-Research	bleu	spm256k	35.6337	35.5930	-0.0407
en-uk	IOL-Research	chrfpp	spm256k	53.5713	53.5167	-0.0545
en-uk	NVIDIA-NeMo	bleu	none	28.3803	27.9519	-0.4284
en-uk	NVIDIA-NeMo	chrfpp	none	48.2439	47.6216	-0.6224
en-uk	NVIDIA-NeMo	bleu	flores200	28.3803	28.3310	-0.0493
en-uk	NVIDIA-NeMo	chrfpp	flores200	48.2439	48.1589	-0.0850
en-uk	NVIDIA-NeMo	bleu	spm32k	28.3803	28.3091	-0.0712
en-uk	NVIDIA-NeMo	chrfpp	spm32k	48.2439	48.1334	-0.1105
en-uk	NVIDIA-NeMo	bleu	spm64k	28.3803	28.3409	-0.0393
en-uk	NVIDIA-NeMo	chrfpp	spm64k	48.2439	48.1772	-0.0667
en-uk	NVIDIA-NeMo	bleu	spm128k	28.3803	28.3320	-0.0482
en-uk	NVIDIA-NeMo	chrfpp	spm128k	48.2439	48.1703	-0.0736
en-uk	NVIDIA-NeMo	bleu	spm256k	28.3803	28.3193	-0.0610
en-uk	NVIDIA-NeMo	chrfpp	spm256k	48.2439	48.1545	-0.0894
en-uk	TranssionMT	bleu	none	40.1482	40.0089	-0.1393
en-uk	TranssionMT	chrfpp	none	56.4194	56.2350	-0.1844
en-uk	TranssionMT	bleu	flores200	40.1482	40.1197	-0.0285
en-uk	TranssionMT	chrfpp	flores200	56.4194	56.3690	-0.0504
en-uk	TranssionMT	bleu	spm32k	40.1482	40.1094	-0.0388
en-uk	TranssionMT	chrfpp	spm32k	56.4194	56.3659	-0.0535
en-uk	TranssionMT	bleu	spm64k	40.1482	40.1150	-0.0331
en-uk	TranssionMT	chrfpp	spm64k	56.4194	56.3671	-0.0523
en-uk	TranssionMT	bleu	spm128k	40.1482	40.1069	-0.0413
en-uk	TranssionMT	chrfpp	spm128k	56.4194	56.3645	-0.0549
en-uk	TranssionMT	bleu	spm256k	40.1482	40.1076	-0.0406
en-uk	TranssionMT	chrfpp	spm256k	56.4194	56.3538	-0.0656
en-uk	Unbabel-Tower70B	bleu	none	32.7443	32.5978	-0.1465
en-uk	Unbabel-Tower70B	chrfpp	none	50.3702	50.1545	-0.2157
en-uk	Unbabel-Tower70B	bleu	flores200	32.7443	32.7270	-0.0173
en-uk	Unbabel-Tower70B	chrfpp	flores200	50.3702	50.3094	-0.0608
en-uk	Unbabel-Tower70B	bleu	spm32k	32.7443	32.7060	-0.0383
en-uk	Unbabel-Tower70B	chrfpp	spm32k	50.3702	50.2975	-0.0727
en-uk	Unbabel-Tower70B	bleu	spm64k	32.7443	32.7044	-0.0398
en-uk	Unbabel-Tower70B	chrfpp	spm64k	50.3702	50.2995	-0.0707
en-uk	Unbabel-Tower70B	bleu	spm128k	32.7443	32.6989	-0.0453
en-uk	Unbabel-Tower70B	chrfpp	spm128k	50.3702	50.3009	-0.0693
en-uk	Unbabel-Tower70B	bleu	spm256k	32.7443	32.7133	-0.0309
en-uk	Unbabel-Tower70B	chrfpp	spm256k	50.3702	50.3192	-0.0510
en-uk	Aya23	bleu	none	32.4173	32.2353	-0.1820
en-uk	Aya23	chrfpp	none	50.9497	50.7178	-0.2319
en-uk	Aya23	bleu	flores200	32.4173	32.3830	-0.0342
en-uk	Aya23	chrfpp	flores200	50.9497	50.8711	-0.0787
en-uk	Aya23	bleu	spm32k	32.4173	32.3709	-0.0464
en-uk	Aya23	chrfpp	spm32k	50.9497	50.8640	-0.0857
en-uk	Aya23	bleu	spm64k	32.4173	32.3910	-0.0263
en-uk	Aya23	chrfpp	spm64k	50.9497	50.8901	-0.0597
en-uk	Aya23	bleu	spm128k	32.4173	32.3866	-0.0307
en-uk	Aya23	chrfpp	spm128k	50.9497	50.8789	-0.0708
en-uk	Aya23	bleu	spm256k	32.4173	32.3703	-0.0469
en-uk	Aya23	chrfpp	spm256k	50.9497	50.8775	-0.0722
en-uk	CommandR-plus	bleu	none	35.1221	34.9334	-0.1887
en-uk	CommandR-plus	chrfpp	none	52.4844	52.2199	-0.2645
en-uk	CommandR-plus	bleu	flores200	35.1221	35.0558	-0.0663
en-uk	CommandR-plus	chrfpp	flores200	52.4844	52.3557	-0.1287
en-uk	CommandR-plus	bleu	spm32k	35.1221	35.0615	-0.0606
en-uk	CommandR-plus	chrfpp	spm32k	52.4844	52.3860	-0.0984
en-uk	CommandR-plus	bleu	spm64k	35.1221	35.0833	-0.0388
en-uk	CommandR-plus	chrfpp	spm64k	52.4844	52.3994	-0.0850
en-uk	CommandR-plus	bleu	spm128k	35.1221	35.0693	-0.0528
en-uk	CommandR-plus	chrfpp	spm128k	52.4844	52.3878	-0.0966
en-uk	CommandR-plus	bleu	spm256k	35.1221	35.0459	-0.0762
en-uk	CommandR-plus	chrfpp	spm256k	52.4844	52.3624	-0.1220
en-uk	ONLINE-W	bleu	none	47.1537	47.0443	-0.1094
en-uk	ONLINE-W	chrfpp	none	61.9830	61.8305	-0.1525
en-uk	ONLINE-W	bleu	flores200	47.1537	47.1015	-0.0522
en-uk	ONLINE-W	chrfpp	flores200	61.9830	61.9392	-0.0438
en-uk	ONLINE-W	bleu	spm32k	47.1537	47.1257	-0.0279
en-uk	ONLINE-W	chrfpp	spm32k	61.9830	61.9354	-0.0476
