langpair	system	metric	segmenter	manual	realigned	delta
en-zh	CycleL	bleu	none	1.1421	0.0581	-1.0839
en-zh	CycleL	chrfpp	none	4.0563	0.8028	-3.2535
en-zh	CycleL	bleu	flores200	1.1421	1.1384	-0.0036
en-zh	CycleL	chrfpp	flores200	4.0563	3.9832	-0.0731
en-zh	CycleL	bleu	spm32k	1.1421	1.1076	-0.0345
en-zh	CycleL	chrfpp	spm32k	4.0563	3.9905	-0.0658
en-zh	CycleL	bleu	spm64k	1.1421	1.1084	-0.0337
en-zh	CycleL	chrfpp	spm64k	4.0563	3.9724	-0.0839
en-zh	CycleL	bleu	spm128k	1.1421	1.1045	-0.0376
en-zh	CycleL	chrfpp	spm128k	4.0563	3.9632	-0.0931
en-zh	CycleL	bleu	spm256k	1.1421	1.0859	-0.0562
en-zh	CycleL	chrfpp	spm256k	4.0563	3.9493	-0.1069
en-zh	CycleL2	bleu	none	0.0559	0.0433	-0.0126
en-zh	CycleL2	chrfpp	none	1.6258	0.5128	-1.1131
en-zh	CycleL2	bleu	flores200	0.0559	0.0516	-0.0043
en-zh	CycleL2	chrfpp	flores200	1.6258	1.6641	0.0382
en-zh	CycleL2	bleu	spm32k	0.0559	0.0570	0.0011
en-zh	CycleL2	chrfpp	spm32k	1.6258	1.6605	0.0346
en-zh	CycleL2	bleu	spm64k	0.0559	0.0547	-0.0012
en-zh	CycleL2	chrfpp	spm64k	1.6258	1.6403	0.0145
en-zh	CycleL2	bleu	spm128k	0.0559	0.0615	0.0056
en-zh	CycleL2	chrfpp	spm128k	1.6258	1.6698	0.0440
en-zh	CycleL2	bleu	spm256k	0.0559	0.0613	0.0054
en-zh	CycleL2	chrfpp	spm256k	1.6258	1.6805	0.0547
en-zh	HW-TSC	bleu	none	39.9054	7.7700	-32.1354
en-zh	HW-TSC	chrfpp	none	37.2339	12.6129	-24.6210
en-zh	HW-TSC	bleu	flores200	39.9054	39.8953	-0.0101
en-zh	HW-TSC	chrfpp	flores200	37.2339	33.6109	-3.6229
en-zh	HW-TSC	bleu	spm32k	39.9054	39.8817	-0.0237
en-zh	HW-TSC	chrfpp	spm32k	37.2339	37.2010	-0.0329
en-zh	HW-TSC	bleu	spm64k	39.9054	39.8976	-0.0078
en-zh	HW-TSC	chrfpp	spm64k	37.2339	37.2151	-0.0187
en-zh	HW-TSC	bleu	spm128k	39.9054	39.8983	-0.0071
en-zh	HW-TSC	chrfpp	spm128k	37.2339	37.2232	-0.0107
en-zh	HW-TSC	bleu	spm256k	39.9054	39.8908	-0.0146
en-zh	HW-TSC	chrfpp	spm256k	37.2339	37.2183	-0.0155
en-zh	IKUN	bleu	none	30.4797	8.6083	-21.8714
en-zh	IKUN	chrfpp	none	29.2205	11.8736	-17.3469
en-zh	IKUN	bleu	flores200	30.4797	30.4652	-0.0145
en-zh	IKUN	chrfpp	flores200	29.2205	26.3796	-2.8409
en-zh	IKUN	bleu	spm32k	30.4797	30.4735	-0.0061
en-zh	IKUN	chrfpp	spm32k	29.2205	29.1941	-0.0264
en-zh	IKUN	bleu	spm64k	30.4797	30.4706	-0.0090
en-zh	IKUN	chrfpp	spm64k	29.2205	29.1876	-0.0329
en-zh	IKUN	bleu	spm128k	30.4797	30.4722	-0.0074
en-zh	IKUN	chrfpp	spm128k	29.2205	29.1898	-0.0307
en-zh	IKUN	bleu	spm256k	30.4797	30.4620	-0.0177
en-zh	IKUN	chrfpp	spm256k	29.2205	29.1858	-0.0347
en-zh	IKUN-C	bleu	none	27.4093	9.6266	-17.7827
en-zh	IKUN-C	chrfpp	none	30.0136	15.5152	-14.4984
en-zh	IKUN-C	bleu	flores200	27.4093	27.3606	-0.0488
en-zh	IKUN-C	chrfpp	flores200	30.0136	27.4975	-2.5161
en-zh	IKUN-C	bleu	spm32k	27.4093	27.3675	-0.0419
en-zh	IKUN-C	chrfpp	spm32k	30.0136	29.9417	-0.0719
en-zh	IKUN-C	bleu	spm64k	27.4093	27.4086	-0.0007
en-zh	IKUN-C	chrfpp	spm64k	30.0136	30.0058	-0.0078
en-zh	IKUN-C	bleu	spm128k	27.4093	27.3935	-0.0158
en-zh	IKUN-C	chrfpp	spm128k	30.0136	29.9850	-0.0286
en-zh	IKUN-C	bleu	spm256k	27.4093	27.4052	-0.0041
en-zh	IKUN-C	chrfpp	spm256k	30.0136	29.9790	-0.0347
en-zh	IOL-Research	bleu	none	38.8213	10.5506	-28.2707
en-zh	IOL-Research	chrfpp	none	34.6622	13.3984	-21.2638
en-zh	IOL-Research	bleu	flores200	38.8213	38.7804	-0.0409
en-zh	IOL-Research	chrfpp	flores200	34.6622	30.8556	-3.8065
en-zh	IOL-Research	bleu	spm32k	38.8213	38.8029	-0.0183
en-zh	IOL-Research	chrfpp	spm32k	34.6622	34.6448	-0.0173
en-zh	IOL-Research	bleu	spm64k	38.8213	38.8093	-0.0120
en-zh	IOL-Research	chrfpp	spm64k	34.6622	34.6529	-0.0092
en-zh	IOL-Research	bleu	spm128k	38.8213	38.8124	-0.0089
en-zh	IOL-Research	chrfpp	spm128k	34.6622	34.6478	-0.0144
en-zh	IOL-Research	bleu	spm256k	38.8213	38.8102	-0.0110
en-zh	IOL-Research	chrfpp	spm256k	34.6622	34.6421	-0.0200
en-zh	NVIDIA-NeMo	bleu	none	23.7411	1.7353	-22.0058
en-zh	NVIDIA-NeMo	chrfpp	none	23.8557	3.0273	-20.8284
en-zh	NVIDIA-NeMo	bleu	flores200	23.7411	23.6777	-0.0634
en-zh	NVIDIA-NeMo	chrfpp	flores200	23.8557	21.7318	-2.1238
en-zh	NVIDIA-NeMo	bleu	spm32k	23.7411	23.6615	-0.0796
en-zh	NVIDIA-NeMo	chrfpp	spm32k	23.8557	23.7897	-0.0659
en-zh	NVIDIA-NeMo	bleu	spm64k	23.7411	23.6666	-0.0744
en-zh	NVIDIA-NeMo	chrfpp	spm64k	23.8557	23.7821	-0.0736
en-zh	NVIDIA-NeMo	bleu	spm128k	23.7411	23.6508	-0.0902
en-zh	NVIDIA-NeMo	chrfpp	spm128k	23.8557	23.7811	-0.0746
en-zh	NVIDIA-NeMo	bleu	spm256k	23.7411	23.6464	-0.0947
en-zh	NVIDIA-NeMo	chrfpp	spm256k	23.8557	23.7585	-0.0972
en-zh	Unbabel-Tower70B	bleu	none	32.8632	7.9812	-24.8820
en-zh	Unbabel-Tower70B	chrfpp	none	32.2824	12.4490	-19.8334
en-zh	Unbabel-Tower70B	bleu	flores200	32.8632	32.8371	-0.0261
en-zh	Unbabel-Tower70B	chrfpp	flores200	32.2824	29.3240	-2.9584
en-zh	Unbabel-Tower70B	bleu	spm32k	32.8632	32.8355	-0.0277
en-zh	Unbabel-Tower70B	chrfpp	spm32k	32.2824	32.2584	-0.0240
en-zh	Unbabel-Tower70B	bleu	spm64k	32.8632	32.8404	-0.0228
en-zh	Unbabel-Tower70B	chrfpp	spm64k	32.2824	32.2652	-0.0172
en-zh	Unbabel-Tower70B	bleu	spm128k	32.8632	32.8390	-0.0242
en-zh	Unbabel-Tower70B	chrfpp	spm128k	32.2824	32.2636	-0.0189
en-zh	Unbabel-Tower70B	bleu	spm256k	32.8632	32.8386	-0.0246
en-zh	Unbabel-Tower70B	chrfpp	spm256k	32.2824	32.2398	-0.0426
en-zh	UvA-MT	bleu	none	25.2057	1.2257	-23.9800
en-zh	UvA-MT	chrfpp	none	28.4862	1.9370	-26.5492
en-zh	UvA-MT	bleu	flores200	25.2057	25.1507	-0.0550
en-zh	UvA-MT	chrfpp	flores200	28.4862	28.3467	-0.1395
en-zh	UvA-MT	bleu	spm32k	25.2057	25.1346	-0.0711
en-zh	UvA-MT	chrfpp	spm32k	28.4862	28.3642	-0.1220
en-zh	UvA-MT	bleu	spm64k	25.2057	25.1368	-0.0689
en-zh	UvA-MT	chrfpp	spm64k	28.4862	28.3796	-0.1066
en-zh	UvA-MT	bleu	spm128k	25.2057	25.1267	-0.0790
en-zh	UvA-MT	chrfpp	spm128k	28.4862	28.4002	-0.0860
en-zh	UvA-MT	bleu	spm256k	25.2057	25.1354	-0.0703
en-zh	UvA-MT	chrfpp	spm256k	28.4862	28.3963	-0.0899
en-zh	Aya23	bleu	none	32.5619	8.0979	-24.4641
en-zh	Aya23	chrfpp	none	30.8394	11.5135	-19.3260
en-zh	Aya23	bleu	flores200	32.5619	32.5497	-0.0123
