langpair	system	metric	segmenter	manual	realigned	delta
ja-zh	CycleL	bleu	none	1.0956	0.0441	-1.0515
ja-zh	CycleL	chrfpp	none	2.3778	0.4588	-1.9190
ja-zh	CycleL	bleu	flores200	1.0956	0.9050	-0.1906
ja-zh	CycleL	chrfpp	flores200	2.3778	2.1181	-0.2596
ja-zh	CycleL	bleu	spm32k	1.0956	0.8858	-0.2098
ja-zh	CycleL	chrfpp	spm32k	2.3778	2.1179	-0.2598
ja-zh	CycleL	bleu	spm64k	1.0956	0.8629	-0.2327
ja-zh	CycleL	chrfpp	spm64k	2.3778	2.1111	-0.2667
ja-zh	CycleL	bleu	spm128k	1.0956	0.9383	-0.1573
ja-zh	CycleL	chrfpp	spm128k	2.3778	2.2117	-0.1661
ja-zh	CycleL	bleu	spm256k	1.0956	0.9163	-0.1793
ja-zh	CycleL	chrfpp	spm256k	2.3778	2.1629	-0.2149
ja-zh	DLUT-GTCOM	bleu	none	29.2021	10.0362	-19.1659
ja-zh	DLUT-GTCOM	chrfpp	none	22.6775	8.4832	-14.1943
ja-zh	DLUT-GTCOM	bleu	flores200	29.2021	29.1811	-0.0211
ja-zh	DLUT-GTCOM	chrfpp	flores200	22.6775	19.9781	-2.6994
ja-zh	DLUT-GTCOM	bleu	spm32k	29.2021	29.1994	-0.0027
ja-zh	DLUT-GTCOM	chrfpp	spm32k	22.6775	22.6768	-0.0008
ja-zh	DLUT-GTCOM	bleu	spm64k	29.2021	29.2020	-0.0001
ja-zh	DLUT-GTCOM	chrfpp	spm64k	22.6775	22.6768	-0.0008
ja-zh	DLUT-GTCOM	bleu	spm128k	29.2021	29.1947	-0.0074
ja-zh	DLUT-GTCOM	chrfpp	spm128k	22.6775	22.6716	-0.0059
ja-zh	DLUT-GTCOM	bleu	spm256k	29.2021	29.1913	-0.0108
ja-zh	DLUT-GTCOM	chrfpp	spm256k	22.6775	22.6673	-0.0102
ja-zh	IKUN	bleu	none	17.6849	3.2610	-14.4238
ja-zh	IKUN	chrfpp	none	15.1185	3.6509	-11.4676
ja-zh	IKUN	bleu	flores200	17.6849	17.6077	-0.0771
ja-zh	IKUN	chrfpp	flores200	15.1185	13.4906	-1.6279
ja-zh	IKUN	bleu	spm32k	17.6849	17.6334	-0.0515
ja-zh	IKUN	chrfpp	spm32k	15.1185	15.0742	-0.0443
ja-zh	IKUN	bleu	spm64k	17.6849	17.6319	-0.0530
ja-zh	IKUN	chrfpp	spm64k	15.1185	15.0746	-0.0438
ja-zh	IKUN	bleu	spm128k	17.6849	17.6333	-0.0516
ja-zh	IKUN	chrfpp	spm128k	15.1185	15.0736	-0.0449
ja-zh	IKUN	bleu	spm256k	17.6849	17.6353	-0.0495
ja-zh	IKUN	chrfpp	spm256k	15.1185	15.0677	-0.0508
ja-zh	IKUN-C	bleu	none	14.1493	1.6981	-12.4512
ja-zh	IKUN-C	chrfpp	none	12.7787	2.9009	-9.8778
ja-zh	IKUN-C	bleu	flores200	14.1493	14.0548	-0.0945
ja-zh	IKUN-C	chrfpp	flores200	12.7787	11.4547	-1.3240
ja-zh	IKUN-C	bleu	spm32k	14.1493	14.0563	-0.0930
ja-zh	IKUN-C	chrfpp	spm32k	12.7787	12.6530	-0.1257
ja-zh	IKUN-C	bleu	spm64k	14.1493	14.0404	-0.1089
ja-zh	IKUN-C	chrfpp	spm64k	12.7787	12.6586	-0.1201
ja-zh	IKUN-C	bleu	spm128k	14.1493	13.9856	-0.1637
ja-zh	IKUN-C	chrfpp	spm128k	12.7787	12.6192	-0.1595
ja-zh	IKUN-C	bleu	spm256k	14.1493	13.9914	-0.1579
ja-zh	IKUN-C	chrfpp	spm256k	12.7787	12.6116	-0.1670
ja-zh	IOL-Research	bleu	none	27.9350	8.6970	-19.2379
ja-zh	IOL-Research	chrfpp	none	22.1589	7.7626	-14.3964
